character,Admiral Croft,Anna Weston,Anne Elliot,Anne Steele,Anne de Bourgh,Augusta Elton,Captain Benwick,Captain Harville,Captain Wentworth,Caroline Bingley,Catherine Morland,Charles Bingley,Charles Hayter,Charles Musgrove,Charlotte Lucas,Charlotte Palmer,Colonel Brandon,Colonel Fitzwilliam,Dr. Grant,Edmund Bertram,Edward Ferrars,Eleanor Tilney,Elinor Dashwood,Elizabeth Bennet,Elizabeth Elliot,Emma Woodhouse,Fanny Dashwood,Fanny Price,Fitzwilliam Darcy,Frank Churchill,Frederick Tilney,General Tilney,George Knightley,George Wickham,Georgiana Darcy,Harriet Smith,Henrietta Musgrove,Henry Crawford,Henry Tilney,Isabella Knightley,Isabella Thorpe,James Morland,Jane Bennet,Jane Fairfax,John Dashwood,John Knightley,John Thorpe,John Willoughby,Julia Bertram,Kitty Bennet,Lady Bertram,Lady Catherine de Bourgh,Lady Lucas,Lady Middleton,Lady Russell,Louisa Musgrove,Lucy Steele,Lydia Bennet,Margaret Dashwood,Maria Bertram,Marianne Dashwood,Mary Bennet,Mary Crawford,Mary Musgrove,Miss Bates,Mr. Allen,Mr. Bennet,Mr. Gardiner,Mr. Hurst,Mr. Musgrove,Mr. Perry,Mr. Rushworth,Mr. Shepherd,Mr. Weston,Mr. Woodhouse,Mr. Yates,Mrs. Allen,Mrs. Bates,Mrs. Bennet,Mrs. Clay,Mrs. Cole,Mrs. Croft,Mrs. Dashwood,Mrs. Ferrars,Mrs. Gardiner,Mrs. Grant,Mrs. Harville,Mrs. Hurst,Mrs. Jennings,Mrs. Morland,Mrs. Musgrove,Mrs. Norris,Mrs. Phillips,Mrs. Price,Mrs. Rushworth,Mrs. Smith,Mrs. Thorpe,Philip Elton,Robert Ferrars,Robert Martin,Sir John Middleton,Sir Thomas Bertram,Sir Walter Elliot,Sir William Lucas,Susan Price,Thomas Palmer,Tom Bertram,William Collins,William Elliot,William Price
Marianne Dashwood,0.897066,0.932529,0.942195,0.57909,0.904499,0.934522,0.881157,0.92337,0.921692,0.929126,0.939337,0.916075,0.754431,0.917865,0.92417,0.919835,0.972054,0.902321,0.599921,0.939019,0.967773,0.942153,0.98764,0.941792,0.909479,0.942218,0.944755,0.941399,0.929291,0.934523,0.923163,0.920105,0.936337,0.918054,0.91702,0.937829,0.903228,0.93364,0.932674,0.889404,0.930673,0.927173,0.934856,0.941595,0.941793,0.926467,0.927997,0.974966,0.932318,0.870414,0.930357,0.916611,0.757965,0.922023,0.880059,0.902913,0.968303,0.924851,0.893509,0.937934,1.0,0.894945,0.944355,0.927671,0.928894,0.889484,0.901657,0.914227,0.763809,0.803768,0.921734,0.923929,0.841994,0.930858,0.929147,0.842825,0.92516,0.911395,0.928672,0.913742,0.871405,0.921498,0.972931,0.957205,0.925203,0.933161,0.863995,0.78253,0.978708,0.920849,0.899514,0.94281,0.811251,0.925646,0.836277,0.927758,0.844159,0.935447,0.899654,0.918244,0.945458,0.936928,0.881474,0.880181,0.867335,0.953802,0.910214,0.930798,0.925206,0.934219
Mary Bennet,0.860594,0.892126,0.917034,0.502651,0.877116,0.90219,0.849712,0.895922,0.890207,0.912042,0.915948,0.904101,0.7416,0.904779,0.903954,0.872968,0.887854,0.89035,0.565845,0.904736,0.898858,0.906305,0.90597,0.926784,0.88488,0.910026,0.87274,0.914595,0.911425,0.902643,0.890237,0.893145,0.901153,0.898995,0.902501,0.907056,0.889521,0.906573,0.907784,0.846638,0.906484,0.900788,0.915565,0.906546,0.865401,0.893641,0.896822,0.905497,0.909848,0.898046,0.901593,0.906743,0.757093,0.863858,0.842954,0.878936,0.906883,0.917992,0.793383,0.910716,0.894945,1.0,0.918357,0.941001,0.897806,0.853162,0.890418,0.897917,0.755141,0.76839,0.89379,0.891448,0.805127,0.890722,0.899289,0.819141,0.891025,0.87657,0.915493,0.886269,0.834176,0.886728,0.892798,0.873603,0.903515,0.908565,0.837601,0.759028,0.89653,0.882072,0.876116,0.910882,0.803606,0.908713,0.803266,0.890644,0.795249,0.895303,0.849086,0.885087,0.882521,0.906676,0.846831,0.860998,0.835038,0.888615,0.887946,0.916519,0.886361,0.904192
Mary Crawford,0.931822,0.956379,0.970698,0.522256,0.92529,0.970302,0.898457,0.95609,0.947599,0.953463,0.971753,0.94256,0.775881,0.951302,0.948342,0.924489,0.955943,0.93828,0.630998,0.987161,0.964929,0.967455,0.964915,0.970433,0.924674,0.974399,0.947391,0.990887,0.961634,0.970358,0.959451,0.948428,0.969611,0.949755,0.939259,0.970537,0.930045,0.985498,0.964819,0.900555,0.968343,0.960485,0.952657,0.970068,0.928643,0.960276,0.9655,0.966985,0.973289,0.895691,0.98078,0.947887,0.773634,0.910252,0.888387,0.917488,0.963695,0.94642,0.82247,0.979874,0.944355,0.918357,1.0,0.94771,0.958088,0.914237,0.944449,0.947734,0.806021,0.804561,0.958647,0.976403,0.862922,0.958815,0.960921,0.890162,0.946305,0.929989,0.950463,0.934776,0.889809,0.93934,0.949575,0.92729,0.952075,0.9863,0.882424,0.777586,0.951086,0.924464,0.919669,0.984774,0.814831,0.960732,0.864219,0.959101,0.853277,0.956601,0.906108,0.953126,0.945524,0.983479,0.904841,0.910789,0.90172,0.955372,0.95515,0.955342,0.95376,0.979268
Mary Musgrove,0.932206,0.929687,0.97725,0.54065,0.909004,0.930216,0.92218,0.940053,0.962905,0.926677,0.936806,0.918577,0.834646,0.966695,0.925663,0.904887,0.921778,0.898837,0.609301,0.93421,0.932067,0.933541,0.937119,0.938514,0.94533,0.939034,0.913018,0.939875,0.926897,0.937402,0.920324,0.922609,0.932728,0.91974,0.917978,0.935743,0.963546,0.936374,0.936358,0.894494,0.925958,0.923687,0.927689,0.938014,0.903617,0.92022,0.923922,0.932517,0.936447,0.890524,0.934896,0.923116,0.774948,0.899699,0.929683,0.957571,0.937924,0.928888,0.839431,0.935958,0.927671,0.941001,0.94771,1.0,0.932184,0.896204,0.898645,0.914014,0.769835,0.877062,0.924053,0.929594,0.884323,0.929457,0.931541,0.857683,0.924921,0.916911,0.92785,0.959102,0.881344,0.960771,0.924484,0.915989,0.928402,0.935451,0.910426,0.789192,0.932394,0.916209,0.956946,0.946097,0.823716,0.93296,0.844274,0.942326,0.851098,0.928262,0.884738,0.917334,0.922736,0.940967,0.923499,0.882984,0.873171,0.925927,0.912058,0.933375,0.950441,0.93389
Miss Bates,0.915369,0.969695,0.946636,0.541248,0.91732,0.96995,0.881111,0.923051,0.924379,0.949024,0.942421,0.936332,0.769278,0.928364,0.94747,0.923538,0.934623,0.916675,0.638642,0.93935,0.934771,0.944356,0.943853,0.94893,0.912574,0.974472,0.926857,0.947217,0.941043,0.964696,0.920564,0.917809,0.967415,0.927042,0.926768,0.966896,0.916776,0.935448,0.933769,0.932258,0.938495,0.931796,0.9437,0.977625,0.90905,0.948834,0.932878,0.936297,0.94112,0.895751,0.941258,0.938965,0.786966,0.910122,0.883514,0.904397,0.940765,0.936052,0.835595,0.937986,0.928894,0.897806,0.958088,0.932184,1.0,0.912794,0.926575,0.926093,0.785014,0.80819,0.963328,0.935936,0.855313,0.965429,0.969141,0.866,0.945456,0.972556,0.950062,0.932686,0.906184,0.930779,0.934841,0.914081,0.946246,0.951243,0.878241,0.81353,0.945114,0.922859,0.917655,0.955359,0.83819,0.931847,0.835783,0.941036,0.867412,0.962644,0.872592,0.941137,0.932916,0.938228,0.885897,0.89165,0.863058,0.945712,0.909541,0.945187,0.927335,0.933163
Mr. Allen,0.898861,0.916802,0.910739,0.5371,0.87631,0.913712,0.851023,0.884791,0.894308,0.895039,0.920234,0.906545,0.760477,0.899687,0.909564,0.898239,0.903224,0.87901,0.623508,0.899585,0.901186,0.918824,0.904654,0.905534,0.887381,0.915854,0.886919,0.901698,0.909219,0.91971,0.897798,0.921079,0.918207,0.897259,0.880746,0.909699,0.880631,0.908675,0.924518,0.877966,0.909485,0.91829,0.896611,0.913737,0.891459,0.906669,0.921493,0.90336,0.899525,0.858624,0.89837,0.90405,0.739613,0.87008,0.855681,0.868509,0.898273,0.890508,0.807058,0.895295,0.889484,0.853162,0.914237,0.896204,0.912794,1.0,0.893302,0.900491,0.763948,0.803669,0.92432,0.912851,0.854953,0.925571,0.925806,0.865384,0.958836,0.896352,0.911079,0.894976,0.875736,0.898531,0.897008,0.878159,0.907697,0.906912,0.842167,0.750649,0.907766,0.928646,0.887082,0.913519,0.830414,0.893174,0.816581,0.911715,0.8571,0.918251,0.851813,0.912854,0.91408,0.911911,0.877406,0.87116,0.826944,0.914681,0.883544,0.918463,0.909422,0.904463
Mr. Bennet,0.902669,0.936845,0.931245,0.461267,0.90012,0.957803,0.871589,0.932209,0.905978,0.944776,0.940036,0.956726,0.72768,0.927014,0.945729,0.898857,0.935157,0.941631,0.559507,0.937506,0.92765,0.932744,0.928842,0.969294,0.887938,0.947953,0.896974,0.944691,0.969337,0.94702,0.936249,0.914848,0.948795,0.949397,0.926097,0.942829,0.879356,0.941226,0.93302,0.870315,0.951381,0.939871,0.950534,0.937981,0.898415,0.949505,0.950872,0.941014,0.921954,0.881353,0.933989,0.939083,0.761876,0.862083,0.823029,0.860663,0.924889,0.93853,0.761377,0.932903,0.901657,0.890418,0.944449,0.898645,0.926575,0.893302,1.0,0.958352,0.818574,0.756683,0.947806,0.932397,0.817338,0.943925,0.947281,0.848817,0.923545,0.892189,0.965646,0.885732,0.862332,0.903763,0.921544,0.871562,0.944315,0.952745,0.844125,0.771534,0.91508,0.882699,0.879186,0.933075,0.807697,0.917738,0.776284,0.938554,0.807221,0.933596,0.855709,0.94036,0.917918,0.936344,0.856755,0.9119,0.808142,0.930242,0.912219,0.958436,0.926721,0.941041
Mr. Gardiner,0.904399,0.93677,0.939751,0.512941,0.908313,0.945617,0.860704,0.933936,0.915516,0.934599,0.950086,0.943298,0.745995,0.934063,0.936138,0.90372,0.938494,0.927375,0.566037,0.94304,0.935179,0.946638,0.938579,0.966846,0.891218,0.946139,0.905305,0.949373,0.955765,0.948497,0.934337,0.92777,0.944115,0.945652,0.920485,0.941879,0.893485,0.944807,0.945009,0.87934,0.949759,0.945342,0.953364,0.938414,0.909853,0.940159,0.95138,0.947843,0.928253,0.903292,0.940922,0.934007,0.741256,0.864988,0.836453,0.879116,0.932755,0.948687,0.805406,0.933729,0.914227,0.897917,0.947734,0.914014,0.926093,0.900491,0.958352,1.0,0.795566,0.782911,0.9444,0.928693,0.831113,0.943891,0.942585,0.854425,0.928757,0.897824,0.958648,0.897829,0.893392,0.910883,0.926634,0.892986,0.947599,0.952684,0.864369,0.768727,0.930095,0.895062,0.887875,0.942533,0.815784,0.937909,0.812384,0.94505,0.820866,0.926004,0.880417,0.938717,0.919342,0.944971,0.863078,0.899681,0.827255,0.935158,0.921762,0.953425,0.93219,0.953241
Mr. Hurst,0.768387,0.786816,0.794148,0.407819,0.774304,0.800348,0.757669,0.787455,0.787021,0.813858,0.790444,0.825745,0.680524,0.798445,0.814545,0.757066,0.787245,0.803686,0.515575,0.798602,0.791029,0.789052,0.782529,0.815026,0.769085,0.796519,0.758783,0.798338,0.82922,0.80037,0.801844,0.781277,0.800851,0.812247,0.800888,0.795143,0.769508,0.801025,0.793476,0.730609,0.798813,0.798271,0.801047,0.789304,0.769673,0.798704,0.806874,0.78814,0.790574,0.760947,0.791554,0.802219,0.674107,0.75311,0.712645,0.755224,0.789844,0.79375,0.65964,0.793706,0.763809,0.755141,0.806021,0.769835,0.785014,0.763948,0.818574,0.795566,1.0,0.680415,0.791261,0.809122,0.702765,0.794867,0.796307,0.749279,0.78226,0.765087,0.812278,0.761925,0.71911,0.770661,0.774734,0.740292,0.807727,0.808129,0.735518,0.705305,0.765257,0.75474,0.765631,0.790015,0.715328,0.785055,0.70847,0.782998,0.696889,0.791561,0.747104,0.806419,0.791193,0.797628,0.739629,0.794144,0.709568,0.790262,0.774504,0.81738,0.796957,0.799765
Mr. Musgrove,0.833761,0.816543,0.856121,0.54659,0.789107,0.778572,0.871424,0.824641,0.896311,0.793911,0.785052,0.80164,0.840197,0.886674,0.80535,0.77101,0.801003,0.771186,0.594086,0.798727,0.805594,0.798643,0.80355,0.788748,0.850778,0.800635,0.795485,0.786271,0.797629,0.811703,0.791945,0.804184,0.810369,0.797509,0.790567,0.795825,0.89076,0.805709,0.812081,0.809366,0.77195,0.787343,0.786748,0.801926,0.807077,0.792057,0.795727,0.795765,0.800271,0.759994,0.787741,0.78709,0.648906,0.794326,0.858801,0.896409,0.804064,0.790921,0.760287,0.800475,0.803768,0.76839,0.804561,0.877062,0.80819,0.803669,0.756683,0.782911,0.680415,1.0,0.812625,0.824878,0.824855,0.82135,0.821567,0.798335,0.807475,0.807056,0.808318,0.868027,0.799241,0.879077,0.800759,0.812561,0.785179,0.778793,0.838604,0.715112,0.819893,0.827482,0.919739,0.810596,0.770298,0.788308,0.781624,0.811586,0.7663,0.816421,0.790768,0.798193,0.81942,0.81675,0.843516,0.771505,0.759424,0.799626,0.799241,0.820458,0.843243,0.803721
