character,Admiral Croft,Anna Weston,Anne Elliot,Anne Steele,Anne de Bourgh,Augusta Elton,Captain Benwick,Captain Harville,Captain Wentworth,Caroline Bingley,Catherine Morland,Charles Bingley,Charles Musgrove,Charlotte Lucas,Charlotte Palmer,Colonel Brandon,Colonel Fitzwilliam,Dr. Grant,Edmund Bertram,Edward Ferrars,Eleanor Tilney,Elinor Dashwood,Elizabeth Bennet,Elizabeth Elliot,Emma Woodhouse,Fanny Dashwood,Fanny Price,Fitzwilliam Darcy,Frank Churchill,Frederick Tilney,General Tilney,George Knightley,George Wickham,Georgiana Darcy,Harriet Smith,Henrietta Musgrove,Henry Crawford,Henry Tilney,Isabella Knightley,Isabella Thorpe,James Morland,Jane Bennet,Jane Fairfax,John Dashwood,John Thorpe,John Willoughby,Julia Bertram,Lady Bertram,Lady Catherine de Bourgh,Lady Lucas,Lady Middleton,Lady Russell,Louisa Musgrove,Lucy Steele,Lydia Bennet,Margaret Dashwood,Maria Bertram,Marianne Dashwood,Mary Bennet,Mary Crawford,Mary Musgrove,Miss Bates,Mr. Allen,Mr. Bennet,Mr. Gardiner,Mr. Hurst,Mr. Perry,Mr. Rushworth,Mr. Shepherd,Mr. Weston,Mr. Woodhouse,Mr. Yates,Mrs. Allen,Mrs. Bates,Mrs. Bennet,Mrs. Clay,Mrs. Cole,Mrs. Croft,Mrs. Dashwood,Mrs. Ferrars,Mrs. Gardiner,Mrs. Grant,Mrs. Harville,Mrs. Hurst,Mrs. Jennings,Mrs. Morland,Mrs. Norris,Mrs. Phillips,Mrs. Price,Mrs. Smith,Mrs. Thorpe,Philip Elton,Robert Ferrars,Robert Martin,Sir John Middleton,Sir Thomas Bertram,Sir Walter Elliot,Sir William Lucas,Susan Price,Thomas Palmer,William Collins,William Elliot,William Price
Lady Bertram,0.841393,0.931761,0.925695,0.348974,0.577382,0.881935,0.812051,0.806302,0.86134,0.871742,0.912507,0.861843,0.89696,0.897798,0.837746,0.87756,0.795544,0.750044,0.928563,0.873363,0.88598,0.936827,0.935679,0.867478,0.931537,0.778297,0.923328,0.886956,0.878439,0.715726,0.881712,0.911493,0.885057,0.820592,0.907089,0.811862,0.910084,0.890516,0.818002,0.931131,0.834362,0.921606,0.86644,0.809019,0.85257,0.861056,0.871597,1.0,0.900062,0.452181,0.852396,0.866833,0.826879,0.907169,0.883099,0.736248,0.913725,0.921976,0.853918,0.912225,0.914193,0.865547,0.79079,0.885452,0.838942,0.655748,0.630366,0.826284,0.759276,0.87453,0.908657,0.792027,0.833276,0.632823,0.910339,0.809204,0.672167,0.819827,0.91775,0.746733,0.812498,0.861966,0.625665,0.364174,0.916618,0.782348,0.932075,0.682034,0.808239,0.865952,0.801699,0.883798,0.757867,0.744293,0.85087,0.929564,0.840214,0.866078,0.822423,0.828912,0.894497,0.823626,0.823075
Lady Catherine de Bourgh,0.854868,0.92905,0.919675,0.360288,0.565478,0.912613,0.874606,0.794683,0.914579,0.876233,0.93895,0.918827,0.90935,0.902166,0.86373,0.904264,0.817229,0.788,0.944422,0.918969,0.907287,0.918965,0.929366,0.878333,0.931717,0.793522,0.935773,0.943968,0.93709,0.800367,0.8775,0.943064,0.925768,0.870337,0.930113,0.823604,0.938349,0.929273,0.846558,0.93821,0.834668,0.930011,0.92702,0.801151,0.908537,0.921713,0.910928,0.900062,1.0,0.454901,0.830901,0.867094,0.866796,0.912351,0.906203,0.730514,0.921946,0.920798,0.815529,0.942204,0.906833,0.914221,0.766785,0.894248,0.868826,0.638939,0.696422,0.899096,0.758967,0.918578,0.901546,0.848166,0.799294,0.684178,0.902484,0.8362,0.708173,0.835666,0.880586,0.815572,0.813315,0.848285,0.656581,0.393806,0.897334,0.798261,0.894999,0.694466,0.807937,0.868422,0.795653,0.920437,0.810658,0.81978,0.884748,0.921604,0.859831,0.862058,0.839543,0.846358,0.911955,0.897594,0.879925
Lady Lucas,0.376412,0.430475,0.443446,0.116068,0.275261,0.424878,0.429783,0.406179,0.443316,0.377701,0.431982,0.434269,0.427212,0.448957,0.410296,0.427524,0.391324,0.38425,0.430289,0.421998,0.465537,0.439914,0.43811,0.419127,0.435375,0.40733,0.439537,0.423803,0.426666,0.318475,0.411172,0.435261,0.420847,0.396451,0.442474,0.394639,0.444,0.413564,0.367688,0.440952,0.387977,0.407738,0.424222,0.418848,0.410063,0.405974,0.414138,0.452181,0.454901,1.0,0.428387,0.470645,0.403521,0.41138,0.428557,0.3559,0.458896,0.436925,0.403916,0.415123,0.407874,0.425761,0.437059,0.418827,0.437716,0.289157,0.463563,0.394314,0.373579,0.401144,0.405803,0.393011,0.381381,0.264041,0.453785,0.37607,0.362188,0.371775,0.454801,0.361961,0.387649,0.468463,0.272073,0.18479,0.440435,0.41209,0.424253,0.334082,0.374796,0.384146,0.446152,0.448672,0.342862,0.366499,0.436642,0.433904,0.455675,0.415389,0.430986,0.408006,0.435998,0.435328,0.41953
Lady Middleton,0.755177,0.849563,0.877013,0.273624,0.542795,0.806148,0.761144,0.742964,0.820167,0.796974,0.850701,0.823591,0.865055,0.810572,0.827173,0.866801,0.750838,0.714811,0.847318,0.845278,0.84622,0.873898,0.879609,0.823094,0.859759,0.764606,0.864041,0.829509,0.813762,0.697255,0.870615,0.845063,0.834523,0.77754,0.835071,0.765159,0.850349,0.829104,0.773156,0.863079,0.757899,0.858255,0.828874,0.732712,0.770762,0.827907,0.836825,0.852396,0.830901,0.428387,1.0,0.831962,0.826756,0.847232,0.802441,0.683499,0.851364,0.874996,0.810763,0.842286,0.844154,0.825205,0.700932,0.829895,0.800158,0.670611,0.592657,0.791222,0.706703,0.836987,0.875171,0.730517,0.779446,0.550784,0.864228,0.808418,0.588827,0.759753,0.855481,0.713511,0.770174,0.782228,0.596756,0.526044,0.871555,0.702276,0.854127,0.729155,0.731367,0.758392,0.698708,0.849218,0.731621,0.683674,0.76761,0.869774,0.860331,0.783659,0.763214,0.758519,0.868749,0.799341,0.791554
Lady Russell,0.787929,0.878931,0.892328,0.332736,0.512803,0.861927,0.82605,0.795489,0.851976,0.840899,0.881085,0.85091,0.875542,0.840657,0.812333,0.874156,0.754401,0.732975,0.889708,0.872182,0.851533,0.896549,0.887877,0.851436,0.899105,0.746472,0.892168,0.88127,0.869977,0.739003,0.870365,0.89439,0.862753,0.8099,0.889352,0.780761,0.887474,0.869492,0.784583,0.872997,0.766557,0.880952,0.863011,0.776676,0.829051,0.871454,0.846336,0.866833,0.867094,0.470645,0.831962,1.0,0.820963,0.886567,0.835804,0.690836,0.877882,0.883888,0.772373,0.881889,0.867132,0.843787,0.707027,0.819603,0.807766,0.611061,0.673258,0.836574,0.752396,0.856805,0.866694,0.791898,0.784495,0.611042,0.873928,0.802498,0.664632,0.767297,0.871279,0.78353,0.79723,0.82167,0.610448,0.382347,0.868437,0.761239,0.862474,0.672397,0.755622,0.810537,0.730179,0.874287,0.775767,0.757944,0.822371,0.900948,0.829494,0.80878,0.816708,0.795865,0.878949,0.855902,0.819482
Louisa Musgrove,0.798283,0.864756,0.893179,0.312012,0.542525,0.831273,0.831783,0.75398,0.889824,0.790698,0.875012,0.871006,0.89226,0.819815,0.835882,0.888207,0.777457,0.737755,0.876566,0.904534,0.845944,0.870739,0.869883,0.843466,0.881113,0.755875,0.897857,0.873296,0.886161,0.764864,0.835414,0.876203,0.87495,0.823395,0.904246,0.825708,0.89636,0.871943,0.796721,0.87894,0.768545,0.861897,0.897948,0.756271,0.839062,0.888762,0.863032,0.826879,0.866796,0.403521,0.826756,0.820963,1.0,0.868075,0.872889,0.714885,0.873251,0.902463,0.770933,0.871865,0.855189,0.867206,0.673362,0.815808,0.823054,0.599913,0.624191,0.851799,0.696496,0.871785,0.860118,0.798371,0.702573,0.614358,0.823502,0.823838,0.618441,0.771059,0.821529,0.760981,0.759569,0.782236,0.645904,0.448025,0.855607,0.74642,0.83685,0.675795,0.756493,0.777599,0.696948,0.896499,0.776885,0.773874,0.790899,0.866857,0.867258,0.77129,0.817814,0.778551,0.868577,0.876319,0.864586
Lucy Steele,0.837693,0.934228,0.943285,0.342164,0.556146,0.902188,0.853357,0.788823,0.896382,0.899443,0.942945,0.881826,0.923845,0.87409,0.864071,0.911291,0.806422,0.762305,0.940814,0.922928,0.887975,0.952628,0.944103,0.908553,0.953421,0.800579,0.945346,0.919096,0.914949,0.7524,0.887503,0.93799,0.917597,0.839438,0.939288,0.816488,0.930847,0.91499,0.846844,0.934033,0.795806,0.947709,0.917806,0.794831,0.874163,0.919463,0.900727,0.907169,0.912351,0.41138,0.847232,0.886567,0.868075,1.0,0.911093,0.755188,0.918209,0.943761,0.838938,0.941499,0.941892,0.891273,0.710841,0.869953,0.840464,0.630627,0.656684,0.867815,0.770919,0.915043,0.918057,0.827623,0.798891,0.657855,0.910009,0.857693,0.665442,0.831279,0.910422,0.804674,0.83032,0.834423,0.624044,0.398204,0.917011,0.781014,0.922192,0.695446,0.80687,0.875911,0.759564,0.918535,0.817267,0.795005,0.865524,0.930789,0.847406,0.865375,0.833587,0.828782,0.920935,0.886294,0.853258
Lydia Bennet,0.836955,0.910972,0.903561,0.343621,0.600589,0.876334,0.847823,0.791952,0.900839,0.860156,0.912665,0.897993,0.900808,0.867959,0.84117,0.877347,0.812498,0.765325,0.914136,0.922853,0.87382,0.897324,0.905402,0.85922,0.905576,0.747046,0.92129,0.905318,0.913388,0.764844,0.845643,0.90372,0.908946,0.845556,0.920143,0.811709,0.923542,0.907509,0.837275,0.925751,0.815018,0.906646,0.911077,0.778612,0.876613,0.894048,0.890413,0.883099,0.906203,0.428557,0.802441,0.835804,0.872889,0.911093,1.0,0.745028,0.914363,0.914562,0.827895,0.921745,0.897411,0.880297,0.712452,0.860857,0.854249,0.592406,0.65731,0.865182,0.716087,0.883376,0.879039,0.838159,0.768806,0.659934,0.860279,0.814521,0.659092,0.795282,0.860849,0.772857,0.80751,0.819231,0.656188,0.3413,0.872389,0.798769,0.874569,0.646262,0.827911,0.844303,0.757682,0.907298,0.777456,0.83274,0.8316,0.89242,0.815976,0.827509,0.828458,0.801716,0.898439,0.900588,0.879321
Margaret Dashwood,0.658573,0.736694,0.767409,0.278322,0.427808,0.720404,0.687924,0.66256,0.743253,0.723298,0.754509,0.713525,0.738047,0.691556,0.694112,0.70955,0.624456,0.636963,0.738115,0.725479,0.739511,0.755931,0.758147,0.710844,0.760512,0.633524,0.751702,0.70709,0.734161,0.564747,0.703608,0.735729,0.734533,0.674086,0.748373,0.635719,0.743376,0.738758,0.702311,0.741584,0.674587,0.728964,0.729061,0.627748,0.687555,0.717865,0.691912,0.736248,0.730514,0.3559,0.683499,0.690836,0.714885,0.755188,0.745028,1.0,0.752708,0.782965,0.702629,0.72457,0.740475,0.722957,0.622595,0.697418,0.726909,0.436496,0.569197,0.67501,0.613384,0.701844,0.715206,0.658291,0.660207,0.533511,0.725936,0.649498,0.57365,0.637552,0.745184,0.624334,0.671444,0.690268,0.524854,0.327381,0.765568,0.661471,0.762713,0.561155,0.673305,0.692836,0.627942,0.753162,0.661278,0.595943,0.712702,0.746111,0.689895,0.667371,0.70728,0.651453,0.730428,0.693903,0.709177
Maria Bertram,0.848946,0.925642,0.938108,0.341898,0.572873,0.891761,0.856803,0.813414,0.904978,0.877455,0.935074,0.906269,0.917638,0.904234,0.847186,0.901959,0.807029,0.776837,0.939669,0.920281,0.901878,0.938147,0.94309,0.880465,0.940918,0.788529,0.94838,0.927266,0.913977,0.776802,0.897383,0.927895,0.927845,0.860146,0.935922,0.828625,0.935998,0.919494,0.838099,0.940463,0.839154,0.928292,0.914887,0.806283,0.871152,0.910063,0.911009,0.913725,0.921946,0.458896,0.851364,0.877882,0.873251,0.918209,0.914363,0.752708,1.0,0.942738,0.838855,0.936215,0.918155,0.890029,0.753462,0.886982,0.871723,0.619124,0.656215,0.865542,0.759696,0.907121,0.903612,0.844973,0.795086,0.655208,0.899581,0.842796,0.674239,0.824135,0.909524,0.79861,0.817487,0.865486,0.661985,0.386427,0.911247,0.813075,0.911462,0.709425,0.821014,0.856639,0.77792,0.921892,0.802232,0.799296,0.859058,0.929702,0.855621,0.847831,0.8584,0.815036,0.916673,0.890754,0.876609
