character,Admiral Croft,Anna Weston,Anne Elliot,Augusta Elton,Captain Benwick,Captain Harville,Captain Wentworth,Caroline Bingley,Catherine Morland,Charles Bingley,Charles Musgrove,Charlotte Lucas,Charlotte Palmer,Colonel Brandon,Colonel Fitzwilliam,Dr. Grant,Edmund Bertram,Edward Ferrars,Eleanor Tilney,Elinor Dashwood,Elizabeth Bennet,Elizabeth Elliot,Emma Woodhouse,Fanny Dashwood,Fanny Price,Fitzwilliam Darcy,Frank Churchill,Frederick Tilney,General Tilney,George Knightley,George Wickham,Georgiana Darcy,Harriet Smith,Henrietta Musgrove,Henry Crawford,Henry Tilney,Isabella Knightley,Isabella Thorpe,James Morland,Jane Bennet,Jane Fairfax,John Dashwood,John Thorpe,John Willoughby,Julia Bertram,Lady Bertram,Lady Catherine de Bourgh,Lady Lucas,Lady Middleton,Lady Russell,Louisa Musgrove,Lucy Steele,Lydia Bennet,Margaret Dashwood,Maria Bertram,Marianne Dashwood,Mary Bennet,Mary Crawford,Mary Musgrove,Miss Bates,Mr. Allen,Mr. Bennet,Mr. Gardiner,Mr. Hurst,Mr. Rushworth,Mr. Shepherd,Mr. Weston,Mr. Woodhouse,Mr. Yates,Mrs. Allen,Mrs. Bates,Mrs. Bennet,Mrs. Clay,Mrs. Cole,Mrs. Croft,Mrs. Dashwood,Mrs. Ferrars,Mrs. Gardiner,Mrs. Grant,Mrs. Harville,Mrs. Hurst,Mrs. Jennings,Mrs. Morland,Mrs. Norris,Mrs. Price,Mrs. Smith,Mrs. Thorpe,Philip Elton,Robert Ferrars,Sir John Middleton,Sir Thomas Bertram,Sir Walter Elliot,Sir William Lucas,Susan Price,Thomas Palmer,William Collins,William Elliot,William Price
Colonel Brandon,-0.310097,0.093512,0.201658,-0.238327,-0.005606,0.134497,0.255822,-0.136856,0.27193,0.008675,-0.203055,-0.093539,-0.009055,1.0,0.13999,-0.146342,-0.106144,0.324941,0.087524,0.55954,0.222362,0.051484,0.148374,-0.04302,0.023159,0.083084,0.097025,-0.094305,0.081475,0.092415,0.127205,0.144376,0.055837,-0.184124,-0.173079,0.072541,0.024509,-0.150339,0.17558,0.156956,0.069055,0.079416,-0.202956,0.438354,-0.194444,0.044809,-0.066797,0.005195,0.11611,0.071192,-0.03824,0.322135,-0.210341,0.111833,-0.005322,0.388448,-0.060464,-0.227053,-0.0791,-0.138064,0.103383,-0.031117,-0.039786,0.022028,-0.089358,-0.103554,0.058204,-0.202317,-0.146881,-0.090419,-0.046284,-0.167407,-0.19631,0.237454,0.045548,0.287307,-0.037182,0.14425,-0.064938,-0.121639,0.022754,0.086447,0.036747,-0.393557,-0.103126,0.104208,-0.107833,-0.15495,0.066603,0.075902,-0.033859,-0.134921,-0.069407,-0.106761,0.316329,-0.14665,0.020672,-0.19798
Colonel Fitzwilliam,-0.048549,-0.044181,0.096364,-0.104405,-0.133805,0.143301,0.121698,-0.080561,0.175435,0.11969,-0.104097,0.015991,-0.069671,0.13999,1.0,0.049872,0.129815,0.132874,-0.00526,0.198276,0.291546,0.03399,-0.087664,-0.126576,0.061117,0.168242,-0.00451,0.004244,0.240948,0.048139,0.286155,0.202732,-0.1691,-0.176958,-0.005337,0.144598,-0.069988,-0.121694,0.063871,0.112197,-0.06398,0.109545,0.03068,0.083188,0.00927,0.018715,0.151232,-0.153599,-0.0634,0.060173,-0.147024,0.021227,-0.100998,-0.183789,0.082223,0.042713,0.141556,0.115301,-0.120651,-0.182519,0.018289,0.019023,0.102345,0.049518,0.105082,0.059947,-0.026803,-0.236193,0.003178,-0.030585,-0.14901,-0.057904,-0.106635,0.027214,-0.012279,0.092266,-0.185031,0.143348,-0.006145,-0.125334,0.006307,-0.009001,-0.037956,-0.125399,-0.121086,0.029361,-0.072949,-0.167729,-0.073923,0.047075,0.140773,-0.030985,0.120695,0.017522,0.155329,0.019937,0.021923,-0.080069
Dr. Grant,-0.05936,-0.177485,-0.143921,0.009455,-0.05272,-0.051269,-0.131986,-0.017013,0.023161,0.053622,-0.083972,-0.055674,0.041926,-0.146342,0.049872,1.0,0.042789,0.002973,-0.070175,-0.094365,-0.007199,-0.055815,-0.06671,0.023281,0.141047,0.052981,-0.115927,-0.073629,0.169719,-0.030992,-0.011412,0.03057,-0.126704,-0.078705,-0.001073,-0.038109,0.065641,-0.005093,0.084393,-0.097044,-0.101537,0.07641,0.019034,-0.054058,0.019881,0.048645,-0.108158,0.109622,0.155073,-0.066117,-0.106306,0.025083,-0.012254,-0.112596,0.020805,-0.101897,0.127525,0.157014,-0.183952,-0.102692,0.010291,0.101075,-0.164995,0.059532,0.046644,0.071391,-0.123459,0.038919,0.134436,0.031062,-0.085801,-0.06166,0.037942,-0.086622,-0.099896,-0.170667,-0.056887,-0.074824,0.02277,-0.137521,0.079202,-0.029834,0.001336,0.101355,0.008216,-0.125813,0.133958,-0.078004,-0.074908,0.011868,0.03952,-0.004812,0.042675,-0.030156,0.13691,0.00404,-0.057032,-0.04068
Edmund Bertram,0.062973,-0.012582,-0.17653,0.095869,-0.127486,0.016237,-0.088676,-0.02334,0.063294,-0.018907,-0.064598,-0.080355,-0.122935,-0.106144,0.129815,0.042789,1.0,-0.087171,0.124667,-0.16914,0.03757,-0.07845,-0.128884,-0.064235,0.374741,0.07744,-0.030756,0.010175,0.070072,-0.017774,0.005102,0.142874,-0.144778,-0.086235,0.458675,0.215398,-0.124871,0.092488,-0.066404,-0.037272,-0.032619,0.070692,0.170476,-0.16533,0.251064,0.298679,0.107109,-0.187209,-0.248937,-0.209163,-0.061297,-0.209195,-0.004977,-0.254503,0.423472,-0.139235,0.112554,0.414549,-0.158392,-0.066804,-0.013873,-0.113902,0.024104,-0.074639,0.20091,0.024708,-0.034222,-0.103952,0.185743,-0.053098,-0.05157,-0.072358,-0.014127,-0.078641,-0.046567,-0.040954,-0.160592,0.003101,0.143551,-0.034035,0.101279,-0.110897,-0.100062,0.420149,0.159462,-0.110874,-0.144197,-0.007867,-0.014237,-0.090698,0.469574,-0.096128,0.078642,0.172582,-0.092035,-0.016668,-0.011181,0.362771
Edward Ferrars,-0.218207,-0.080817,0.104291,-0.159736,0.078239,0.262416,0.205526,-0.133755,0.282944,0.029237,-0.16901,-0.053264,0.135199,0.324941,0.132874,0.002973,-0.087171,1.0,0.028584,0.512505,0.127912,-0.05643,0.06343,-0.05885,0.09545,0.05627,0.076663,0.007491,0.114809,0.065404,0.113098,0.165568,0.078333,-0.174681,-0.095942,0.070167,-0.033465,-0.126958,0.095463,-0.08316,-0.053232,0.071211,-0.024506,0.448165,-0.122029,0.052283,-0.093347,0.103936,0.195002,0.111817,-0.109361,0.312978,-0.115333,0.228042,-0.001101,0.443617,0.088549,-0.004117,-0.033005,-0.161563,-0.01086,0.021731,-0.115685,0.170625,0.064126,-0.030252,0.055377,-0.253129,-0.089421,-0.100219,-0.247535,-0.229823,-0.083292,0.260125,-0.019497,0.174848,-0.07221,-0.083068,-0.102096,-0.312747,-0.141595,0.232914,-0.125722,-0.367579,-0.310489,0.0208,-0.064669,-0.169163,-0.028609,0.28382,0.009148,0.023162,0.120189,-0.183948,0.293484,-0.115906,-0.047134,-0.179759
Eleanor Tilney,-0.070484,0.040333,-0.000944,-0.076774,-0.032169,0.066292,-0.002851,-0.023909,0.346082,-0.046758,-0.075182,-0.019747,-0.094017,0.087524,-0.00526,-0.070175,0.124667,0.028584,1.0,0.053096,0.195333,-0.091254,0.005691,-0.112467,0.175776,0.117581,-0.00606,-0.035782,0.060136,-0.012799,0.039935,0.012898,-0.007236,-0.183324,0.134939,0.484951,-0.091247,0.376171,0.2048,0.128425,-0.05029,-0.095614,0.252505,0.006564,0.022392,0.019589,0.070714,-0.038237,-0.072454,-0.191709,-0.013626,-0.065111,-0.070958,-0.040506,0.070078,0.077067,-0.100294,0.134638,-0.023102,0.013298,0.23125,0.020404,-0.003932,-0.031469,0.049515,-0.148642,0.023282,-0.096691,0.039628,0.085896,-0.089568,-0.011588,-0.099852,0.04014,-0.0284,0.004607,-0.03878,0.057805,0.079515,-0.03878,0.03309,-0.093782,0.097949,-0.087443,0.015817,-0.084165,0.013262,-0.032591,-0.009368,-0.047495,0.147719,-0.225752,0.062881,-0.070357,0.046213,0.030273,-0.057611,0.04457
Elinor Dashwood,-0.321301,0.121273,0.289124,-0.321991,0.003872,0.207391,0.243269,-0.260974,0.275641,-0.116892,-0.190302,-0.077789,0.116883,0.55954,0.198276,-0.094365,-0.16914,0.512505,0.053096,1.0,0.290756,0.007815,0.240465,-0.089221,0.069571,0.129251,0.130428,-0.072548,0.041503,0.19167,0.143118,-0.016352,0.134308,-0.283302,-0.285936,0.094943,0.001676,-0.167332,0.181842,0.145009,0.031085,0.066432,-0.195016,0.571741,-0.209325,0.084088,-0.051812,-0.030364,0.239314,0.130852,-0.040688,0.554667,-0.260851,0.325302,-0.13431,0.655668,-0.108101,-0.271538,-0.021143,-0.129521,0.023071,-0.035096,-0.101713,-0.026199,-0.100252,-0.086667,0.117564,-0.263653,-0.150339,-0.096333,-0.112023,-0.239411,-0.131969,0.309436,0.054459,0.422512,0.061582,0.019563,-0.094466,-0.15014,-0.051317,0.313987,-0.020409,-0.450192,-0.296754,0.136672,-0.110761,-0.123007,0.112986,0.283848,0.000134,-0.140808,-0.037514,-0.148838,0.39341,-0.11532,-0.074472,-0.293514
Elizabeth Bennet,-0.423057,-0.085898,-0.073821,-0.423358,-0.017176,0.049103,0.008775,0.226455,0.444705,0.114273,-0.367139,0.351778,-0.08403,0.222362,0.291546,-0.007199,0.03757,0.127912,0.195333,0.290756,1.0,-0.24177,0.073335,-0.310834,0.360788,0.689935,-0.089358,0.08508,0.097826,-0.014091,0.602374,0.170824,0.036716,-0.284751,-0.064116,0.255422,-0.09426,0.154733,0.248654,0.710036,-0.222163,-0.219625,-0.040095,0.200208,-0.035448,0.102878,0.366307,0.069553,0.035562,-0.04445,-0.11066,0.088143,0.069226,0.001999,-0.028843,0.229284,0.108201,0.044153,-0.223206,-0.284154,-0.000245,0.361813,0.089996,0.178865,0.136311,-0.298961,-0.224221,-0.360461,0.007039,0.04067,-0.168322,0.274092,-0.233315,0.212442,-0.185536,-0.101278,-0.053032,0.49497,-0.044728,-0.182768,0.116981,-0.193545,0.009186,-0.364506,-0.238539,-0.160372,0.003162,-0.233757,-0.024012,-0.034921,0.145767,-0.345028,0.269934,-0.164369,0.291374,0.125181,-0.202092,-0.19554
Elizabeth Elliot,0.197426,0.294683,0.350184,0.339245,-0.196867,-0.012147,-0.072556,0.006971,-0.293606,-0.074314,0.259882,-0.094367,0.020731,0.051484,0.03399,-0.055815,-0.07845,-0.05643,-0.091254,0.007815,-0.24177,1.0,0.192171,0.205971,-0.361398,-0.196176,0.102869,-0.293992,-0.126964,0.17782,-0.112793,-0.024683,0.058594,0.031277,-0.033404,-0.124304,0.098201,-0.065109,-0.188647,-0.15077,0.280471,0.090082,-0.092015,-0.141082,-0.120917,-0.2212,0.08717,-0.245278,-0.192841,0.160915,-0.044321,0.062664,-0.196339,-0.236631,-0.102024,-0.077074,-0.086946,-0.159602,0.294972,0.274727,-0.016656,-0.191214,0.099495,-0.302715,-0.265749,0.256633,0.169965,0.123709,-0.143233,-0.211681,0.124078,0.008834,0.214445,0.032683,0.085704,0.082337,0.028478,-0.011025,-0.011062,0.104656,-0.097939,0.042311,0.00457,0.059356,-0.055186,0.34263,-0.059122,0.251201,-0.021405,-0.09274,-0.081689,0.342998,-0.011183,-0.099775,-0.109507,0.097491,0.370975,-0.047283
Emma Woodhouse,-0.088094,0.629107,0.222117,0.299806,-0.106574,0.010993,-0.071141,-0.106914,-0.15494,-0.167579,-0.020554,0.05728,0.01376,0.148374,-0.087664,-0.06671,-0.128884,0.06343,0.005691,0.240465,0.073335,0.192171,1.0,0.009495,-0.120483,0.11287,0.310707,-0.147825,-0.223899,0.720911,-0.026245,-0.089042,0.681963,-0.049293,-0.063873,-0.029729,0.179995,0.095816,-0.115514,0.143199,0.396601,-0.049916,-0.182389,0.078704,-0.155802,-0.29864,0.021645,-0.000587,-0.028722,0.00419,0.035948,0.277375,-0.278398,-0.009898,-0.220644,0.257647,0.009628,-0.093548,0.069722,0.417733,-0.025505,0.003459,-0.048414,-0.205867,-0.20901,-0.080411,0.186991,0.371753,-0.178226,-0.250767,0.212334,-0.062564,0.041966,0.116976,0.004477,0.046515,0.10053,0.066046,-0.002526,-0.074471,-0.140447,-0.08543,0.056497,-0.158498,-0.187481,0.163257,0.0072,0.491754,0.091212,-0.130462,-0.155925,-0.156235,0.044012,-0.262135,-0.001627,0.084164,0.061082,-0.294461
