character,Admiral Croft,Anna Weston,Anne Elliot,Anne Steele,Anne de Bourgh,Augusta Elton,Captain Benwick,Captain Harville,Captain Wentworth,Caroline Bingley,Catherine Morland,Charles Bingley,Charles Musgrove,Charlotte Lucas,Charlotte Palmer,Colonel Brandon,Colonel Fitzwilliam,Dr. Grant,Edmund Bertram,Edward Ferrars,Eleanor Tilney,Elinor Dashwood,Elizabeth Bennet,Elizabeth Elliot,Emma Woodhouse,Fanny Dashwood,Fanny Price,Fitzwilliam Darcy,Frank Churchill,Frederick Tilney,General Tilney,George Knightley,George Wickham,Georgiana Darcy,Harriet Smith,Henrietta Musgrove,Henry Crawford,Henry Tilney,Isabella Knightley,Isabella Thorpe,James Morland,Jane Bennet,Jane Fairfax,John Dashwood,John Thorpe,John Willoughby,Julia Bertram,Lady Bertram,Lady Catherine de Bourgh,Lady Lucas,Lady Middleton,Lady Russell,Louisa Musgrove,Lucy Steele,Lydia Bennet,Margaret Dashwood,Maria Bertram,Marianne Dashwood,Mary Bennet,Mary Crawford,Mary Musgrove,Miss Bates,Mr. Allen,Mr. Bennet,Mr. Gardiner,Mr. Hurst,Mr. Perry,Mr. Rushworth,Mr. Shepherd,Mr. Weston,Mr. Woodhouse,Mr. Yates,Mrs. Allen,Mrs. Bates,Mrs. Bennet,Mrs. Clay,Mrs. Cole,Mrs. Croft,Mrs. Dashwood,Mrs. Ferrars,Mrs. Gardiner,Mrs. Grant,Mrs. Harville,Mrs. Hurst,Mrs. Jennings,Mrs. Morland,Mrs. Norris,Mrs. Phillips,Mrs. Price,Mrs. Smith,Mrs. Thorpe,Philip Elton,Robert Ferrars,Robert Martin,Sir John Middleton,Sir Thomas Bertram,Sir Walter Elliot,Sir William Lucas,Susan Price,Thomas Palmer,William Collins,William Elliot,William Price
Mr. Woodhouse,0.00679,0.266563,0.266383,-0.081583,-0.032611,0.004337,-0.226517,-0.026445,-0.218887,0.072963,0.140187,-0.108904,0.217682,-0.066035,0.059234,0.143079,-0.147899,-0.041223,0.132913,0.025777,0.060849,0.217142,0.291863,0.042267,0.280171,0.093656,0.239812,-0.118225,-0.047709,-0.105619,0.129938,0.142495,-0.104914,-0.207636,-0.087155,0.026885,-0.047063,-0.04417,0.096331,0.051578,-0.042429,0.318516,-0.072071,-0.0381,-0.173902,-0.105078,0.033617,0.148033,-0.103676,-0.162875,0.241645,0.016218,0.020537,0.146057,-0.061427,-0.081961,-0.054717,0.176413,0.164641,0.056849,0.25514,-0.003421,-0.121152,0.147696,-0.048355,0.139705,-0.221353,-0.135611,0.056139,0.10015,1.0,-0.146206,0.148041,0.024214,0.183082,-0.004632,-0.163505,0.054529,0.218623,-0.242304,0.011763,-0.029915,-0.118394,0.218847,0.1994,-0.115933,0.26328,0.010708,0.020819,0.136747,-0.091645,0.017444,-0.059734,-0.271889,-0.162343,0.157706,0.210289,0.15609,-0.18333,0.00289,-0.006152,-0.255472,-0.162435
Mr. Yates,-0.003998,-0.09546,-0.115759,-0.041591,-0.065433,0.004272,0.105349,0.049202,0.215163,0.012482,0.008238,0.091926,-0.027012,0.032794,-0.012718,-0.099978,0.027381,0.008626,0.121064,0.056566,-0.083637,-0.162771,-0.141888,-0.021813,-0.111698,-0.069129,0.023015,0.06606,0.216931,0.160237,-0.042832,0.012742,0.111267,0.028979,0.100354,-0.012388,0.165111,0.102317,-0.018073,-0.013959,-0.039548,-0.047271,0.054904,-0.027287,0.110553,0.084697,0.097264,-0.183245,0.054655,-0.053448,-0.197285,-0.032115,0.026051,-0.048858,0.11496,-0.054216,0.048245,-0.120115,-0.124904,0.125088,-0.084932,0.055074,-0.170151,-0.029435,0.03515,-0.08537,0.06685,0.169028,-0.056177,0.016981,-0.146206,1.0,-0.057752,0.003897,-0.120618,-0.050184,-0.027526,-0.084593,-0.091835,0.062938,-0.027241,-0.059812,0.01811,-0.114192,-0.195123,0.12791,-0.123635,-0.05396,0.026665,-0.084869,-0.031656,0.048116,0.069826,0.17104,0.034529,0.04311,-0.10403,-0.062025,0.092409,-0.045073,0.062636,0.214605,0.234726
Mrs. Allen,0.028247,0.106514,0.03818,-0.084107,-0.007896,0.026627,-0.166229,0.096501,-0.185215,0.120935,0.05384,-0.186218,-0.061181,0.045158,0.053803,-0.116885,-0.039693,-0.091599,0.160567,-0.305292,0.148194,0.12007,0.234323,-0.051924,0.093506,-0.071978,-0.050938,-0.132019,-0.146428,-0.07049,0.182409,-0.028467,-0.147417,-0.069896,-0.287026,-0.103056,-0.181229,-0.051406,-0.092152,0.044544,0.04539,0.121971,-0.299887,-0.045897,-0.041068,-0.256713,-0.129216,0.253916,-0.044746,-0.027327,0.142267,0.087574,-0.260533,-0.005887,-0.086751,0.043734,-0.044104,-0.070376,0.227825,-0.013206,0.054832,-0.027765,0.153732,0.163212,-0.075345,0.178584,0.003831,-0.034731,0.154293,-0.003079,0.148041,-0.057752,1.0,-0.084755,0.345735,-0.115175,-0.006785,-0.084172,0.253229,-0.150788,-0.030506,0.048928,-0.061065,-0.117704,0.154953,-0.038064,0.221142,-0.029814,-0.071445,0.019383,0.146875,-0.156129,-0.123061,-0.179434,0.054613,0.251669,-0.151928,0.294976,-0.02778,0.02287,-0.038852,-0.283678,-0.132204
Mrs. Bates,-0.020227,0.096073,-0.132434,-0.004227,-0.111366,0.172407,-0.073336,0.008315,-0.047521,-0.033311,0.09387,0.080928,-0.088864,0.079097,0.046863,-0.137476,-0.093925,-0.026035,0.01782,-0.030825,-0.04274,-0.094041,-0.160844,-0.115089,-0.000345,-0.14803,-0.057838,-0.013913,0.005573,-0.000903,-0.208725,0.124578,-0.059775,-0.054279,0.008498,-0.0868,-0.102754,0.160397,-0.03275,-0.070179,0.008089,-0.021221,0.145082,-0.097245,0.124847,-0.033847,-0.010222,-0.105586,0.053588,-0.108869,-0.212666,-0.098206,-0.071384,-0.051486,0.015627,-0.015517,-0.080069,-0.09625,-0.156619,0.125144,0.021033,0.161228,-0.061143,-0.076754,-0.061781,-0.030286,0.105439,0.133229,0.069125,0.035269,0.024214,0.003897,-0.084755,1.0,-0.201825,0.066885,0.235091,0.060855,-0.207689,0.02001,0.085985,-0.103831,0.146528,-0.12749,-0.076756,0.052419,-0.179364,0.036065,0.101648,0.269173,0.106686,-0.099992,-0.029878,-0.024207,0.071334,-0.200313,-0.203813,-0.048327,-0.111649,-0.023056,-0.200043,-0.074454,0.057365
Mrs. Bennet,0.112152,0.15587,0.253631,-0.141571,-0.038583,0.123153,-0.223689,-0.052281,-0.273436,0.216119,0.130851,-0.305513,0.036373,0.059911,0.045369,-0.128803,-0.144751,-0.079952,0.20574,-0.299553,0.186195,0.388964,0.411895,0.078195,0.263939,0.03095,0.099888,-0.079752,-0.152609,-0.161156,0.195144,0.039767,-0.10123,-0.167482,-0.146673,-0.132015,-0.115,-0.116276,-0.087919,0.147715,-0.016973,0.22616,-0.295633,0.109419,-0.126521,-0.243706,-0.088173,0.242356,0.007453,0.027959,0.205386,0.126356,-0.186774,0.145055,-0.145243,0.011158,0.009602,0.145711,0.189456,-0.018264,0.240911,-0.082571,0.128014,0.163191,-0.06916,0.078258,-0.180703,-0.179665,0.21642,-0.000424,0.183082,-0.120618,0.345735,-0.201825,1.0,-0.074205,-0.146659,0.068039,0.396551,-0.11839,0.001733,0.118506,-0.20871,0.005829,0.249107,-0.012426,0.346957,-0.029194,-0.129735,0.150852,0.101565,-0.129124,-0.084107,-0.28332,-0.010048,0.258983,-0.031618,0.300075,-0.053214,0.029224,0.073494,-0.333726,-0.288589
Mrs. Clay,-0.122063,-0.040867,0.081888,-0.083789,-0.028988,-0.049687,-0.10423,-0.113669,-0.011756,-0.073384,0.037669,-0.001335,0.063625,-0.13507,0.183091,0.15508,0.029161,0.041801,-0.063404,0.138225,-0.139177,0.037542,-0.03956,0.151189,-0.004914,0.036536,-0.016862,-0.072381,-0.028337,-0.051927,-0.023011,-0.009015,-0.019683,0.080664,-0.03192,0.079942,-0.041235,-0.057307,-0.104726,-0.052379,-0.141878,-0.02484,0.162392,-0.104546,-0.053853,0.003957,0.128843,-0.111939,-0.076801,-0.100481,0.130524,-0.003479,0.12837,0.126879,-0.055134,-0.097748,-0.004543,0.040904,-0.033923,0.027484,0.109592,0.019176,-0.140958,-0.074557,-0.12949,-0.046047,-0.054608,-0.01796,0.014513,0.14849,-0.004632,-0.050184,-0.115175,0.066885,-0.074205,1.0,-0.020482,0.00412,-0.105731,0.035051,0.141906,0.011449,0.055482,0.144952,0.098531,-0.089582,-0.027914,0.155407,-0.081021,0.01205,-0.091712,0.063317,0.094208,-0.050549,-0.001248,-0.038309,0.131267,-0.096889,-0.048396,-0.105871,0.025137,0.042409,0.077462
Mrs. Cole,-0.020343,-0.008088,-0.234569,0.025891,-0.040574,0.036962,-0.002339,0.001559,-0.007908,-0.065771,-0.082334,-0.033846,-0.155319,0.170219,0.04172,-0.116301,0.034641,-0.012699,-0.155997,-0.199041,0.016245,-0.148879,-0.187135,-0.112774,-0.148653,-0.059957,-0.306505,-0.111047,-0.06979,-0.092727,-0.113234,-0.105464,-0.189775,-0.036022,-0.132901,-0.031455,-0.170502,-0.022416,-0.145898,-0.110314,-0.035749,-0.22769,-0.034553,-0.087776,-0.029209,-0.118814,-0.116066,-0.052066,0.02491,0.032881,-0.190531,-0.010872,-0.169229,-0.160931,-0.112571,0.027021,-0.128164,-0.217316,-0.148505,-0.060128,-0.208668,0.162467,0.202056,-0.038681,-0.056732,0.086976,0.297034,0.04892,-0.006478,-0.044924,-0.163505,-0.027526,-0.006785,0.235091,-0.146659,-0.020482,1.0,-0.022101,-0.168435,0.047843,0.166101,-0.022361,0.0906,-0.075614,-0.080692,-0.011409,-0.239353,0.172006,-0.041244,0.093759,0.111083,-0.158486,-0.155617,0.022695,0.091111,-0.089461,-0.131561,-0.134156,-0.093822,0.064255,-0.113003,-0.073079,0.01499
Mrs. Croft,0.074263,0.150836,0.100917,-0.036204,0.016318,0.114072,-0.127333,-0.125702,-0.133926,-0.00781,0.14345,-0.126459,0.08724,0.060616,-0.041329,0.059439,-0.021611,-0.002454,0.053108,-0.012116,0.008692,0.1542,0.072161,0.015812,0.167224,0.012757,0.097023,0.063904,-0.021563,-0.059392,-0.07229,0.195398,-0.041776,-0.064228,0.055856,-0.077327,-0.029531,-0.008658,0.024544,0.155435,0.017508,0.155753,0.005591,-0.092404,-0.013951,0.147242,0.052627,0.049999,0.061917,-0.089497,-0.006914,-0.08503,-0.029878,0.06817,-0.050055,-0.085626,-0.010368,0.037074,0.030138,0.147238,0.12127,0.134315,0.021949,0.057271,-0.049868,-0.015547,-0.157484,-0.087939,0.129306,0.081044,0.054529,-0.084593,-0.084172,0.060855,0.068039,0.00412,-0.022101,1.0,-0.02901,-0.086349,0.060274,-0.021138,-0.10031,0.005262,0.163588,-0.114434,0.041301,-0.051761,-0.084075,0.270762,0.008939,-0.002069,0.012894,-0.072248,-0.053919,-0.020405,-0.034001,0.135135,-0.160718,-0.041547,-0.007427,-0.088288,-0.207605
Mrs. Dashwood,-0.097825,0.136279,0.399187,-0.138885,-0.006555,-0.109442,-0.173812,0.091191,-0.249802,0.260278,0.179499,-0.391476,0.016354,-0.010446,-0.046067,-0.036314,-0.191902,-0.155497,0.20304,-0.256742,0.107102,0.558117,0.491908,0.126062,0.343433,0.173925,0.189106,-0.226535,-0.219489,-0.275281,0.267753,-0.047608,-0.094674,-0.154939,-0.061523,-0.048084,-0.148806,-0.203163,-0.007367,0.041151,-0.031652,0.184246,-0.433189,0.138973,-0.313167,-0.188986,-0.11345,0.351733,-0.126717,0.042716,0.186766,0.15387,-0.138564,0.215722,-0.069614,0.120767,0.183166,0.357888,0.274504,-0.078028,0.297438,-0.254997,0.098172,0.175802,0.051343,0.010878,-0.216841,-0.397872,0.149917,-0.159058,0.218623,-0.091835,0.253229,-0.207689,0.396551,-0.105731,-0.168435,-0.02901,1.0,-0.133725,-0.119046,0.214165,-0.115122,-0.03658,0.303496,0.037243,0.359497,-0.092909,0.082258,0.078039,0.065673,-0.198135,0.00275,-0.374801,0.007465,0.367534,0.08205,0.236226,0.094241,0.069203,0.035388,-0.369467,-0.262658
Mrs. Ferrars,0.019042,-0.047887,-0.237789,0.022097,-0.036431,0.082936,0.355018,-0.048557,0.195895,0.071544,-0.143931,0.227051,-0.087777,-0.10622,-0.074623,0.123347,-0.0257,0.030321,-0.046608,0.12254,-0.176282,-0.188108,-0.264644,0.037952,-0.136291,-0.001191,-0.138043,0.28539,0.238978,0.247941,0.05598,0.028048,0.190636,0.194851,0.060406,-0.002906,0.105718,0.174711,0.09165,-0.201679,-0.118571,-0.095937,0.20186,-0.112617,0.146546,0.223814,-0.023486,-0.186764,0.077849,-0.060139,-0.109982,0.091411,-0.00549,0.042535,-0.056462,-0.050349,-0.002848,-0.185832,-0.230641,0.001833,-0.058127,0.007711,-0.127183,-0.151333,-0.15163,-0.171701,0.158367,0.243011,-0.098546,0.03781,-0.242304,0.062938,-0.150788,0.02001,-0.11839,0.035051,0.047843,-0.086349,-0.133725,1.0,-0.049582,-0.151225,0.011222,-0.120016,-0.193194,-0.042627,-0.241079,-0.01708,-0.067836,-0.13148,-0.126936,0.060026,0.120689,0.270611,0.155968,-0.106397,-0.178814,-0.16234,-0.010291,0.084284,-0.168634,0.286324,0.086723
