character,Admiral Croft,Anna Weston,Anne Elliot,Anne Steele,Anne de Bourgh,Augusta Elton,Captain Benwick,Captain Harville,Captain Wentworth,Caroline Bingley,Catherine Morland,Charles Bingley,Charles Musgrove,Charlotte Lucas,Charlotte Palmer,Colonel Brandon,Colonel Fitzwilliam,Dr. Grant,Edmund Bertram,Edward Ferrars,Eleanor Tilney,Elinor Dashwood,Elizabeth Bennet,Elizabeth Elliot,Emma Woodhouse,Fanny Dashwood,Fanny Price,Fitzwilliam Darcy,Frank Churchill,Frederick Tilney,General Tilney,George Knightley,George Wickham,Georgiana Darcy,Harriet Smith,Henrietta Musgrove,Henry Crawford,Henry Tilney,Isabella Knightley,Isabella Thorpe,James Morland,Jane Bennet,Jane Fairfax,John Dashwood,John Thorpe,John Willoughby,Julia Bertram,Lady Bertram,Lady Catherine de Bourgh,Lady Lucas,Lady Middleton,Lady Russell,Louisa Musgrove,Lucy Steele,Lydia Bennet,Margaret Dashwood,Maria Bertram,Marianne Dashwood,Mary Bennet,Mary Crawford,Mary Musgrove,Miss Bates,Mr. Allen,Mr. Bennet,Mr. Gardiner,Mr. Hurst,Mr. Perry,Mr. Rushworth,Mr. Shepherd,Mr. Weston,Mr. Woodhouse,Mr. Yates,Mrs. Allen,Mrs. Bates,Mrs. Bennet,Mrs. Clay,Mrs. Cole,Mrs. Croft,Mrs. Dashwood,Mrs. Ferrars,Mrs. Gardiner,Mrs. Grant,Mrs. Harville,Mrs. Hurst,Mrs. Jennings,Mrs. Morland,Mrs. Norris,Mrs. Phillips,Mrs. Price,Mrs. Smith,Mrs. Thorpe,Philip Elton,Robert Ferrars,Robert Martin,Sir John Middleton,Sir Thomas Bertram,Sir Walter Elliot,Sir William Lucas,Susan Price,Thomas Palmer,William Collins,William Elliot,William Price
Frank Churchill,0.692594,0.891312,0.906721,0.235482,0.648626,0.824674,0.713371,0.557606,0.893237,0.769488,0.854713,0.817859,0.874692,0.771905,0.824011,0.854776,0.522653,0.64348,0.907605,0.868423,0.753711,0.854174,0.899945,0.791712,0.873753,0.7189,0.925241,0.883822,1.0,0.622938,0.809558,0.886257,0.847646,0.701567,0.90124,0.715321,0.902037,0.846452,0.689389,0.819425,0.592554,0.859011,0.885705,0.609853,0.829172,0.864391,0.829865,0.77253,0.820802,0.633179,0.7954,0.762186,0.807884,0.819048,0.851766,0.554691,0.866297,0.886798,0.709051,0.880032,0.834026,0.866186,0.651038,0.829529,0.626887,0.289754,0.759522,0.816738,0.552325,0.874896,0.860367,0.683402,0.681374,0.711499,0.812751,0.714048,0.465163,0.520489,0.833269,0.609384,0.706169,0.734722,0.26029,0.491896,0.811365,0.654915,0.822716,0.60618,0.737233,0.786965,0.713087,0.83211,0.581035,0.806454,0.786843,0.891671,0.816262,0.764198,0.77086,0.721557,0.813059,0.836652,0.781739
Frederick Tilney,0.525595,0.640168,0.648706,0.202061,0.433663,0.592371,0.541741,0.427605,0.629863,0.58172,0.644395,0.5755,0.588346,0.519368,0.559583,0.67505,0.372096,0.413724,0.661219,0.660552,0.567897,0.601182,0.669774,0.581739,0.626776,0.511113,0.668202,0.678164,0.622938,1.0,0.607588,0.631934,0.658191,0.526953,0.626274,0.518186,0.650699,0.633485,0.486264,0.600593,0.488677,0.654669,0.608944,0.449034,0.60947,0.631775,0.596233,0.547917,0.610695,0.370598,0.604277,0.547788,0.603247,0.590864,0.651727,0.402667,0.616801,0.59804,0.5501,0.648965,0.525768,0.544328,0.525362,0.626336,0.422651,0.259628,0.5279,0.589653,0.343909,0.61665,0.646054,0.615048,0.478947,0.470352,0.572773,0.483707,0.273953,0.436455,0.557592,0.476536,0.595047,0.525917,0.23192,0.230754,0.574269,0.458722,0.578538,0.448746,0.557813,0.593934,0.503241,0.571376,0.537346,0.562831,0.563817,0.640422,0.643885,0.549367,0.494343,0.440959,0.543672,0.617186,0.54588
General Tilney,0.654513,0.793329,0.797224,0.256781,0.548664,0.757604,0.681397,0.498959,0.792526,0.712703,0.770225,0.764676,0.808492,0.711145,0.752647,0.817814,0.486542,0.588992,0.828477,0.770789,0.729921,0.801026,0.817415,0.712615,0.788827,0.70361,0.810611,0.829378,0.809558,0.607588,1.0,0.837488,0.802493,0.64102,0.787482,0.617843,0.822605,0.783599,0.662563,0.757234,0.593023,0.774517,0.786479,0.559893,0.731012,0.790152,0.745491,0.732662,0.751225,0.618548,0.740388,0.692113,0.714885,0.767419,0.768896,0.567083,0.774021,0.805058,0.64315,0.787347,0.768041,0.786812,0.577851,0.736762,0.617323,0.372355,0.709163,0.731376,0.524844,0.826352,0.786336,0.641564,0.621938,0.676251,0.766759,0.655989,0.491767,0.467648,0.765089,0.628686,0.628856,0.701484,0.244211,0.505319,0.775418,0.650946,0.781227,0.54954,0.694408,0.703349,0.69505,0.80969,0.557144,0.726879,0.736791,0.816696,0.748663,0.681122,0.644695,0.671629,0.765238,0.771665,0.764103
George Knightley,0.778912,0.931121,0.916839,0.27635,0.578525,0.881805,0.739889,0.64294,0.881194,0.835302,0.901656,0.840943,0.899832,0.767797,0.84921,0.874772,0.518665,0.669001,0.935722,0.862119,0.843412,0.911374,0.930265,0.824109,0.934734,0.766619,0.931919,0.920363,0.886257,0.631934,0.837488,1.0,0.87973,0.706608,0.887163,0.698077,0.915566,0.89669,0.753391,0.885062,0.577537,0.901073,0.879508,0.649758,0.824618,0.858579,0.862936,0.851927,0.852284,0.663491,0.810889,0.801408,0.772021,0.896368,0.867602,0.642372,0.852721,0.894781,0.726827,0.925521,0.860212,0.8966,0.692664,0.835968,0.681395,0.346078,0.771042,0.809035,0.604653,0.906847,0.900084,0.746628,0.735956,0.734453,0.889594,0.756794,0.570211,0.543725,0.833095,0.662512,0.773284,0.77175,0.289831,0.549235,0.884591,0.729267,0.890554,0.565145,0.788655,0.783207,0.816323,0.868711,0.583586,0.794945,0.814065,0.907772,0.825835,0.796415,0.72684,0.696288,0.849595,0.838146,0.806364
George Wickham,0.705476,0.837281,0.838724,0.298011,0.614683,0.844356,0.812395,0.582398,0.851879,0.754094,0.812243,0.857715,0.862209,0.799163,0.753993,0.866771,0.543209,0.659517,0.856615,0.881515,0.741082,0.807576,0.853083,0.727976,0.834165,0.705385,0.874002,0.915891,0.847646,0.658191,0.802493,0.87973,1.0,0.722194,0.869362,0.664804,0.892406,0.836773,0.695453,0.792747,0.669345,0.836863,0.860911,0.637278,0.832218,0.912649,0.805314,0.727373,0.835852,0.637884,0.773666,0.774171,0.754574,0.795097,0.796336,0.52089,0.814607,0.837377,0.752169,0.858542,0.768939,0.845576,0.646397,0.815614,0.643532,0.426529,0.745705,0.806765,0.559815,0.846148,0.809443,0.686254,0.66879,0.660816,0.778579,0.74089,0.521294,0.519919,0.772567,0.682352,0.669371,0.661384,0.294121,0.430638,0.773909,0.661343,0.789746,0.579007,0.696843,0.757908,0.72891,0.870781,0.56918,0.847653,0.819998,0.840399,0.805948,0.714161,0.72072,0.688581,0.827994,0.894919,0.785992
Georgiana Darcy,0.55685,0.662225,0.669658,0.183015,0.67356,0.682333,0.671046,0.491668,0.716582,0.533317,0.63026,0.790618,0.691408,0.713827,0.695193,0.729785,0.442828,0.579332,0.680023,0.758273,0.612938,0.61104,0.678466,0.617071,0.652182,0.589291,0.723816,0.782457,0.701567,0.526953,0.64102,0.706608,0.722194,1.0,0.73938,0.650053,0.772911,0.71116,0.618785,0.616338,0.514283,0.64529,0.752977,0.50335,0.672111,0.737708,0.726422,0.554235,0.734413,0.543315,0.622271,0.667592,0.686799,0.649142,0.668293,0.395043,0.687937,0.671276,0.604987,0.717836,0.606243,0.734207,0.55382,0.690565,0.497774,0.27546,0.644041,0.70322,0.403536,0.700947,0.65713,0.60033,0.477734,0.522672,0.594234,0.665124,0.477049,0.400142,0.657021,0.585793,0.50075,0.497216,0.257606,0.260259,0.608509,0.48367,0.604957,0.58803,0.591352,0.604776,0.602622,0.776467,0.561285,0.729795,0.722718,0.675026,0.691812,0.57705,0.615036,0.646749,0.660264,0.736649,0.631758
Harriet Smith,0.686737,0.884897,0.916732,0.29573,0.670443,0.864974,0.77286,0.547004,0.8613,0.766878,0.860542,0.853041,0.886876,0.770513,0.831133,0.86483,0.538057,0.699948,0.890178,0.883953,0.754697,0.86572,0.912456,0.816986,0.892964,0.727735,0.939626,0.893988,0.90124,0.626274,0.787482,0.887163,0.869362,0.73938,1.0,0.770611,0.900285,0.849854,0.738218,0.826183,0.606613,0.880299,0.914892,0.622382,0.80923,0.881952,0.858718,0.779895,0.871277,0.679646,0.808913,0.824909,0.817573,0.84321,0.857658,0.542552,0.875602,0.904573,0.784385,0.891707,0.863832,0.893237,0.618766,0.797502,0.665209,0.339686,0.742535,0.798046,0.564807,0.87538,0.851946,0.681906,0.702943,0.706827,0.813843,0.765978,0.49973,0.535294,0.83271,0.683435,0.683363,0.720797,0.315987,0.496187,0.820494,0.701308,0.842723,0.606503,0.729795,0.811359,0.722998,0.852206,0.590576,0.830466,0.774565,0.878594,0.822222,0.718047,0.747105,0.672283,0.832004,0.854096,0.804163
Henrietta Musgrove,0.550617,0.736361,0.745266,0.178828,0.564991,0.662894,0.581802,0.402636,0.698186,0.637018,0.718563,0.667582,0.707424,0.65793,0.722874,0.668942,0.414046,0.505714,0.737409,0.725552,0.671029,0.733786,0.743556,0.696763,0.735943,0.614662,0.768001,0.699662,0.715321,0.518186,0.617843,0.698077,0.664804,0.650053,0.770611,1.0,0.73319,0.694555,0.658114,0.682728,0.426987,0.720744,0.765145,0.472076,0.625232,0.680453,0.718448,0.659041,0.697061,0.531213,0.720114,0.679855,0.657509,0.733015,0.757223,0.468673,0.747773,0.73764,0.618293,0.722955,0.702982,0.704188,0.490879,0.65126,0.494788,0.182156,0.620341,0.65075,0.416763,0.706216,0.714986,0.623957,0.568587,0.585388,0.670607,0.663053,0.410532,0.453611,0.649931,0.529191,0.622342,0.622203,0.234229,0.373783,0.71177,0.531917,0.708317,0.520909,0.659747,0.649812,0.595987,0.683371,0.491111,0.620917,0.608127,0.724213,0.668172,0.594451,0.568256,0.488518,0.629591,0.656819,0.638865
Henry Crawford,0.724749,0.894466,0.890734,0.261776,0.620841,0.87687,0.777444,0.611909,0.908583,0.773371,0.856195,0.895577,0.895819,0.807068,0.82442,0.874571,0.549336,0.698132,0.912055,0.89718,0.807733,0.847785,0.901664,0.812807,0.887,0.75474,0.919393,0.921321,0.902037,0.650699,0.822605,0.915566,0.892406,0.772911,0.900285,0.73319,1.0,0.876125,0.757814,0.829924,0.620902,0.862578,0.891803,0.637412,0.843223,0.890543,0.881256,0.779072,0.857719,0.670408,0.802124,0.819616,0.810862,0.839112,0.855178,0.569168,0.874432,0.873998,0.734087,0.903411,0.822599,0.895287,0.655757,0.844476,0.648627,0.342092,0.77443,0.853692,0.592863,0.899029,0.861451,0.704257,0.702714,0.697203,0.827797,0.757366,0.498052,0.514736,0.844504,0.656797,0.709712,0.73148,0.289348,0.457563,0.827123,0.659061,0.844891,0.603447,0.746595,0.774585,0.75895,0.891212,0.62417,0.855386,0.824768,0.907177,0.828935,0.779547,0.777861,0.717199,0.8547,0.889451,0.835828
Henry Tilney,0.756871,0.88573,0.882119,0.231362,0.581009,0.887532,0.707298,0.559873,0.831577,0.853773,0.885744,0.827836,0.854788,0.753614,0.797884,0.845432,0.512462,0.663294,0.899685,0.856423,0.823354,0.865086,0.898388,0.765498,0.902185,0.732066,0.909051,0.89369,0.846452,0.633485,0.783599,0.89669,0.836773,0.71116,0.849854,0.694555,0.876125,1.0,0.718221,0.890408,0.541768,0.884648,0.866001,0.598664,0.811836,0.830282,0.832724,0.851348,0.841347,0.638839,0.792478,0.749469,0.745083,0.872524,0.878079,0.636119,0.826783,0.872059,0.720277,0.889529,0.839047,0.859336,0.6885,0.777679,0.698489,0.289188,0.73082,0.783534,0.581532,0.865691,0.894335,0.708875,0.777071,0.768051,0.86734,0.755687,0.515195,0.587552,0.818052,0.591912,0.75529,0.704511,0.26347,0.479623,0.849362,0.611001,0.873728,0.583086,0.774901,0.803172,0.776364,0.811614,0.586976,0.798349,0.796135,0.865808,0.803929,0.78588,0.742308,0.639881,0.798314,0.797102,0.78373
