character,Admiral Croft,Anna Weston,Anne Elliot,Anne Steele,Anne de Bourgh,Augusta Elton,Captain Benwick,Captain Harville,Captain Wentworth,Caroline Bingley,Catherine Morland,Charles Bingley,Charles Musgrove,Charlotte Lucas,Charlotte Palmer,Colonel Brandon,Colonel Fitzwilliam,Dr. Grant,Edmund Bertram,Edward Ferrars,Eleanor Tilney,Elinor Dashwood,Elizabeth Bennet,Elizabeth Elliot,Emma Woodhouse,Fanny Dashwood,Fanny Price,Fitzwilliam Darcy,Frank Churchill,Frederick Tilney,General Tilney,George Knightley,George Wickham,Georgiana Darcy,Harriet Smith,Henrietta Musgrove,Henry Crawford,Henry Tilney,Isabella Knightley,Isabella Thorpe,James Morland,Jane Bennet,Jane Fairfax,John Dashwood,John Thorpe,John Willoughby,Julia Bertram,Lady Bertram,Lady Catherine de Bourgh,Lady Lucas,Lady Middleton,Lady Russell,Louisa Musgrove,Lucy Steele,Lydia Bennet,Margaret Dashwood,Maria Bertram,Marianne Dashwood,Mary Bennet,Mary Crawford,Mary Musgrove,Miss Bates,Mr. Allen,Mr. Bennet,Mr. Gardiner,Mr. Hurst,Mr. Perry,Mr. Rushworth,Mr. Shepherd,Mr. Weston,Mr. Woodhouse,Mr. Yates,Mrs. Allen,Mrs. Bates,Mrs. Bennet,Mrs. Clay,Mrs. Cole,Mrs. Croft,Mrs. Dashwood,Mrs. Ferrars,Mrs. Gardiner,Mrs. Grant,Mrs. Harville,Mrs. Hurst,Mrs. Jennings,Mrs. Morland,Mrs. Norris,Mrs. Phillips,Mrs. Price,Mrs. Smith,Mrs. Thorpe,Philip Elton,Robert Ferrars,Robert Martin,Sir John Middleton,Sir Thomas Bertram,Sir Walter Elliot,Sir William Lucas,Susan Price,Thomas Palmer,William Collins,William Elliot,William Price
Robert Ferrars,-0.041837,-0.038877,0.093587,-0.070876,-0.00884,-0.095387,-0.077862,-0.048513,0.09862,-0.041276,0.005738,-0.06906,-0.070811,-0.03168,0.032571,0.064666,-0.084909,-0.07673,0.077825,0.020981,0.048049,-0.009961,0.05227,0.144489,0.021054,-0.031332,0.073472,0.109555,-0.005654,0.194258,0.036298,-0.11446,-0.026033,0.158242,-0.004466,0.009661,0.098185,-0.004506,0.107151,-0.002517,-0.048079,-0.079172,-0.034481,0.008267,-0.076596,-0.022008,0.095872,-0.011371,-0.169247,-0.015123,-0.020549,0.044545,0.004824,0.030223,0.107606,0.008388,0.093226,0.003595,-0.038648,0.030955,-0.067298,-0.100159,0.027168,0.080097,-0.101788,-0.097081,0.023181,0.050663,-0.017587,0.013562,0.088462,0.026649,-0.058509,-0.101323,-0.036428,-0.139716,-0.150784,-0.003962,0.039839,-0.101642,-0.045159,0.111316,-0.096115,-0.087903,-0.01696,-0.203969,0.042564,0.090707,-0.03962,0.030031,-0.065809,-0.101995,1.0,-0.054446,-0.094311,0.153132,0.009048,0.013561,-0.033501,0.014171,-0.031512,-0.005812,0.161702
Robert Martin,-0.227702,-0.337021,-0.147021,0.105033,0.110353,0.325399,0.442474,-0.057929,0.038122,-0.249526,-0.398584,0.57452,0.313879,0.14333,-0.413045,0.223403,0.326183,0.389803,-0.253157,0.427788,-0.542705,-0.438404,-0.261526,-0.336952,-0.446614,-0.10469,-0.017659,0.346753,0.166555,0.031887,0.054177,-0.044942,0.371257,0.219696,0.319353,-0.094315,0.347839,0.091774,-0.213918,-0.311583,0.252698,-0.147509,0.118515,-0.115384,0.110392,0.462229,0.112316,-0.387967,0.231435,0.123465,-0.305569,-0.016406,0.139076,-0.328139,-0.376326,-0.401638,0.249695,0.037937,0.078063,-0.315768,0.059061,0.430236,-0.047613,0.083904,0.177432,0.138953,-0.078309,0.208773,0.335185,-0.184779,-0.427093,-0.193728,-0.120546,0.147594,-0.455485,0.075938,-0.097712,-0.042673,0.321856,-0.015973,-0.491329,-0.180653,0.105647,-0.037206,-0.486042,-0.118485,-0.228835,-0.037003,-0.250093,-0.031794,-0.389427,0.322623,-0.054446,1.0,0.290386,-0.014037,0.124594,-0.340218,0.330251,0.313217,0.199085,0.526228,0.274208
Sir John Middleton,-0.098059,-0.222476,-0.283303,0.026918,0.114043,0.082651,0.263472,0.085965,0.058653,-0.207206,-0.320224,0.253037,0.019999,0.264193,-0.151211,0.217137,0.23091,0.089915,-0.250796,0.225121,-0.203097,-0.43333,-0.257147,-0.311702,-0.369918,-0.171185,-0.134198,0.201004,0.051193,-0.004722,0.052732,0.024228,0.233437,0.229013,-0.057345,-0.120155,0.152201,0.061319,-0.099472,-0.206575,0.260293,-0.233483,-0.021725,0.094053,0.169069,0.209074,-0.125428,-0.302716,0.151714,0.001636,-0.060113,-0.050646,-0.00245,-0.358907,-0.281605,-0.246567,-0.033373,-0.275725,0.035893,-0.045592,-0.24739,0.144711,0.031763,0.106382,0.08902,0.180665,0.092126,0.098585,0.028936,-0.096612,-0.20703,-0.002335,-0.148319,-0.049693,-0.336547,0.081681,0.176102,-0.111723,-0.018648,0.140184,-0.156713,-0.277942,0.043326,-0.231931,-0.319509,0.021421,-0.356549,0.086672,-0.196701,-0.213342,-0.138701,0.335351,-0.094311,0.290386,1.0,-0.202084,0.177108,0.042504,0.178984,0.231122,0.074715,0.239421,-0.03521
Sir Thomas Bertram,-0.14254,0.250892,0.42912,-0.131859,-0.064439,-0.073392,-0.232342,-0.100929,0.175649,0.085225,0.057733,-0.05823,0.044456,-0.023394,0.110965,-0.05921,-0.198503,0.003358,0.411471,0.017867,0.128365,0.296354,0.385307,0.183789,0.189096,0.184436,0.306279,-0.041834,0.217212,0.033863,0.075254,0.08704,-0.099429,-0.15687,0.00511,0.034476,0.177104,-0.027568,0.010897,-0.031802,-0.225338,0.089852,-0.048196,-0.127953,-0.221035,0.041708,0.039611,0.015827,-0.171373,0.027585,-0.012963,0.07798,-0.03221,0.104219,0.058004,-0.113366,0.294247,0.233851,-0.135761,0.13106,-0.011216,0.013312,-0.110238,0.1924,-0.07386,-0.332222,0.072244,0.043517,0.081127,0.11107,0.230306,-0.024281,0.049468,0.105955,0.130327,-0.111921,-0.034591,-0.13824,0.191425,-0.248562,0.193221,0.31838,-0.192101,0.10781,0.101637,-0.050206,0.14752,-0.025589,0.030085,0.111653,-0.204681,-0.139937,0.153132,-0.014037,-0.202084,1.0,0.058468,0.091664,0.121037,-0.005582,0.155986,-0.005861,0.165131
Sir Walter Elliot,-0.248835,-0.155903,0.132261,0.044672,0.056197,-0.04347,0.144762,0.162924,0.102236,-0.100685,-0.178753,0.046802,0.047232,0.187072,-0.123247,0.224936,0.143253,-0.140204,-0.00362,0.310688,-0.227922,-0.127091,0.064687,-0.115698,-0.187679,-0.214608,0.082084,0.258885,0.172019,0.17933,0.076645,0.079339,0.143502,0.141444,0.131231,0.062171,0.148089,0.086127,-0.161065,-0.182471,0.069371,-0.025567,0.02143,-0.095641,-0.037924,0.209427,-0.079787,-0.270519,-0.041838,-0.034934,-0.107584,0.141963,0.17474,-0.115786,-0.078051,-0.28233,-0.04115,-0.091779,-0.040005,0.052616,-0.030628,-0.037743,-0.153563,0.010833,0.043484,0.034948,-0.001541,0.133781,-0.124545,-0.114218,-0.009255,0.117041,-0.138049,0.005092,-0.307079,-0.043245,-0.054162,-0.057521,0.032325,0.024519,0.018477,0.015681,-0.067254,-0.034385,-0.2334,0.061354,-0.172742,0.132448,-0.021287,-0.009888,-0.374108,0.014262,0.009048,0.124594,0.177108,0.058468,1.0,-0.047991,0.075182,0.074223,-0.006648,0.174739,-0.069186
Sir William Lucas,0.030319,0.275245,0.055892,-0.213529,-0.162089,-0.110114,-0.312227,-0.015541,0.152978,0.225906,0.250107,-0.243869,-0.177762,0.08035,0.2001,-0.156549,-0.201325,-0.280155,0.191364,-0.150318,0.338575,0.197609,0.286971,0.102338,0.356953,-0.04004,0.147141,-0.102495,0.01582,-0.037125,-0.0983,0.028161,-0.178413,-0.112719,-0.323368,-0.062876,-0.024653,0.095928,-0.000848,0.309581,-0.212634,0.003729,-0.15096,0.024492,-0.044443,-0.23685,0.035096,0.144026,-0.131237,-0.06872,0.063263,-0.040143,-0.11826,0.078729,0.214394,0.173513,-0.137347,-0.031124,-0.069715,0.327063,-0.073012,-0.19804,0.037136,0.036051,-0.04768,-0.25604,0.14567,-0.016402,-0.215591,-0.006118,0.30233,0.133118,0.170866,-0.065383,0.275951,-0.07551,0.018782,0.049938,-0.043661,-0.203179,0.465172,0.056827,-0.132162,-0.050784,0.168307,-0.045243,0.075178,0.130106,0.069627,-0.126267,0.216067,-0.091081,0.013561,-0.340218,0.042504,0.091664,-0.047991,1.0,0.030112,-0.039627,-0.106918,-0.22526,-0.15033
Susan Price,-0.244016,-0.062617,0.012495,-0.018098,0.082583,0.096238,0.11596,-0.046724,0.160151,-0.103891,-0.206905,0.300844,0.045843,0.13201,-0.238832,0.064573,0.130713,0.172963,-0.049828,0.25993,-0.131179,-0.219691,-0.047495,-0.159581,-0.171276,-0.033114,0.192942,0.082995,0.238821,-0.044422,-0.047787,-0.089142,0.069068,0.059112,0.136147,-0.0752,0.227854,0.098692,-0.099134,-0.175994,0.084936,-0.106004,-0.03611,-0.071823,0.093399,0.231907,-0.031285,-0.282583,0.100597,0.098999,-0.091763,0.079764,-0.002968,-0.301564,-0.22434,-0.324462,0.232658,0.089474,-0.010083,-0.08852,0.026191,0.329484,-0.091197,0.084501,0.106975,-0.0749,0.032559,0.199244,0.293181,-0.086145,-0.159367,-0.150079,-0.038132,0.084531,-0.32455,0.087462,-0.091076,-0.014503,0.213995,-0.107089,-0.105516,-0.143822,0.030779,-0.11,-0.247395,-0.147891,-0.08292,0.175544,-0.219938,0.005708,-0.24771,0.091351,-0.033501,0.330251,0.178984,0.121037,0.075182,0.030112,1.0,0.226632,0.090431,0.258853,0.124816
Thomas Palmer,-0.181052,-0.115087,-0.12733,-0.046502,0.108822,0.004072,0.110419,-0.051957,0.06397,-0.233229,-0.292543,0.292039,0.133317,0.184872,0.035309,0.246276,0.065036,0.176382,-0.055385,0.214278,-0.235554,-0.142086,-0.158925,-0.223108,-0.236719,-0.074247,-0.06107,0.134357,0.249863,-0.048201,0.183203,0.078421,0.160209,0.21794,0.094085,-0.141139,0.210988,-0.069432,-0.128664,-0.254958,0.055869,-0.308837,-0.00962,0.026369,0.147445,0.200872,-0.023808,-0.234623,0.048088,0.068532,-0.100817,-0.033005,0.145431,-0.161748,-0.290128,-0.198335,0.126375,0.003669,-0.001802,-0.157224,0.06608,0.26868,0.042176,0.077748,0.106286,-0.06919,0.163245,0.213779,0.092786,0.016984,-0.096819,-0.158563,-0.243198,0.070957,-0.320901,-0.023868,0.029417,-0.09598,0.295323,-0.102184,-0.210323,-0.075541,-0.081285,-0.01906,-0.266069,0.003989,-0.215062,0.188654,-0.231088,-0.165537,-0.153957,0.271592,0.014171,0.313217,0.231122,-0.005582,0.074223,-0.039627,0.226632,1.0,0.076028,0.151556,0.013541
William Collins,-0.122704,-0.106115,-0.004364,-0.017662,0.038844,0.122254,0.080831,-0.029736,0.033532,-0.04882,-0.101064,0.245995,-0.004269,0.003547,-0.161301,-0.014175,0.125404,0.234087,-0.065055,0.006231,-0.112259,-0.085826,0.081273,-0.008749,-0.080183,-0.025333,0.012578,0.076825,0.007524,-0.142899,0.038379,0.017931,0.121784,-0.03352,0.042573,-0.155468,0.127686,-0.119828,-0.026321,-0.123826,0.02557,-0.031465,-0.074962,0.141614,-0.033563,0.113147,-0.054248,-0.110231,0.024709,0.266511,-0.033144,0.066723,-0.078226,-0.192502,-0.144718,-0.099332,0.16408,0.104279,0.059084,0.043326,-0.030117,0.174216,-0.170906,0.07423,0.223156,-0.030658,-0.050221,0.094694,0.19049,0.091261,-0.067018,-0.1363,0.129568,0.004253,0.020972,0.025757,0.041053,-0.195892,0.165993,-0.019866,-0.128419,0.028428,-0.170703,-0.009837,-0.110402,-0.049056,-0.002349,-0.057611,-0.183994,-0.104737,-0.12446,0.152089,-0.031512,0.199085,0.074715,0.155986,-0.006648,-0.106918,0.090431,0.076028,1.0,0.149183,0.270463
William Elliot,-0.268291,-0.277228,-0.203681,0.161376,0.11383,0.12444,0.511724,0.092276,0.28873,-0.300954,-0.40629,0.500221,0.249781,0.206143,-0.401403,0.354627,0.346271,0.130546,-0.25158,0.443964,-0.397674,-0.50515,-0.306485,-0.246313,-0.476115,-0.096904,-0.066545,0.34162,0.162602,0.089451,0.091205,-0.023827,0.487522,0.212523,0.239469,-0.067433,0.387243,-0.092869,-0.120069,-0.326898,0.404392,-0.17391,0.179684,0.051951,0.092102,0.501931,0.024974,-0.490415,0.102253,0.121279,-0.092562,0.103364,0.13132,-0.482456,-0.372473,-0.445837,0.120273,-0.012043,0.038529,-0.237929,-0.187251,0.186748,-0.18379,0.110715,0.08655,0.232846,0.054409,0.243537,0.08256,-0.114546,-0.468681,-0.091366,-0.110503,-0.072913,-0.496556,0.090206,-0.129561,-0.06764,0.071701,0.154773,-0.363555,-0.292,0.054321,-0.210114,-0.458062,-0.089915,-0.423337,-0.002024,-0.16658,-0.030313,-0.357023,0.351283,-0.005812,0.526228,0.239421,-0.005861,0.174739,-0.22526,0.258853,0.151556,0.149183,1.0,0.13574
