fic_id,chapter_id,para_id,text,text_tokenized
emma_33,1,1," XV Emma was not required , by any subsequent discovery , to retract her ill opinion of Mrs. Elton . Her observation had been pretty correct . "," XV Emma was not required , by any subsequent discovery , to retract her ill opinion of Mrs. Elton . Her observation had been pretty correct . "
emma_33,1,2,"Such as Mrs. Elton appeared to her on this second interview , such she appeared whenever they met again,--self - important , presuming , familiar , ignorant , and ill - bred . ","Such as Mrs. Elton appeared to her on this second interview , such she appeared whenever they met again,--self - important , presuming , familiar , ignorant , and ill - bred . "
emma_33,1,3,"She had a little beauty and a little accomplishment , but so little judgment that she thought herself coming with superior knowledge of the world , to enliven and improve a country neighbourhood ; and conceived Miss Hawkins to have held such a place in society as Mrs. Elton 's consequence only could surpass . ","She had a little beauty and a little accomplishment , but so little judgment that she thought herself coming with superior knowledge of the world , to enliven and improve a country neighbourhood ; and conceived Miss Hawkins to have held such a place in society as Mrs. Elton 's consequence only could surpass . "
emma_33,1,4,"There was no reason to suppose Mr. Elton thought at all differently from his wife . He seemed not merely happy with her , but proud . ","There was no reason to suppose Mr. Elton thought at all differently from his wife . He seemed not merely happy with her , but proud . "
emma_33,1,5,"He had the air of congratulating himself on having brought such a woman to Highbury , as not even Miss Woodhouse could equal ; and the greater part of her new acquaintance , disposed to commend , or not in the habit of judging , following the lead of Miss Bates 's good - will , or taking it for granted that the bride must be as clever and as agreeable as she professed herself , were very well satisfied ; so that Mrs. Elton 's praise passed from one mouth to another as it ought to do , unimpeded by Miss Woodhouse , who readily continued her first contribution and talked with a good grace of her being "" very pleasant and very elegantly dressed . "" ","He had the air of congratulating himself on having brought such a woman to Highbury , as not even Miss Woodhouse could equal ; and the greater part of her new acquaintance , disposed to commend , or not in the habit of judging , following the lead of Miss Bates 's good - will , or taking it for granted that the bride must be as clever and as agreeable as she professed herself , were very well satisfied ; so that Mrs. Elton 's praise passed from one mouth to another as it ought to do , unimpeded by Miss Woodhouse , who readily continued her first contribution and talked with a good grace of her being "" very pleasant and very elegantly dressed . "" "
emma_33,1,6,In one respect Mrs. Elton grew even worse than she had appeared at first . ,In one respect Mrs. Elton grew even worse than she had appeared at first . 
emma_33,1,7,"Her feelings altered towards Emma.--Offended , probably , by the little encouragement which her proposals of intimacy met with , she drew back in her turn and gradually became much more cold and distant ; and though the effect was agreeable , the ill - will which produced it was necessarily increasing Emma 's dislike . ","Her feelings altered towards Emma.--Offended , probably , by the little encouragement which her proposals of intimacy met with , she drew back in her turn and gradually became much more cold and distant ; and though the effect was agreeable , the ill - will which produced it was necessarily increasing Emma 's dislike . "
emma_33,1,8,"Her manners , too -- and Mr. Elton 's , were unpleasant towards Harriet . ","Her manners , too -- and Mr. Elton 's , were unpleasant towards Harriet . "
emma_33,1,9,They were sneering and negligent . ,They were sneering and negligent . 
emma_33,1,10,Emma hoped it must rapidly work Harriet 's cure ; but the sensations which could prompt such behaviour sunk them both very much.--It ,Emma hoped it must rapidly work Harriet 's cure ; but the sensations which could prompt such behaviour sunk them both very much.--It 
emma_33,1,11,"was not to be doubted that poor Harriet 's attachment had been an offering to conjugal unreserve , and her own share in the story , under a colouring the least favourable to her and the most soothing to him , had in all likelihood been given also . She was , of course , the object of their joint dislike.-- When they had nothing else to say , it must be always easy to begin abusing Miss Woodhouse ; and the enmity which they dared not shew in open disrespect to her , found a broader vent in contemptuous treatment of Harriet . ","was not to be doubted that poor Harriet 's attachment had been an offering to conjugal unreserve , and her own share in the story , under a colouring the least favourable to her and the most soothing to him , had in all likelihood been given also . She was , of course , the object of their joint dislike.-- When they had nothing else to say , it must be always easy to begin abusing Miss Woodhouse ; and the enmity which they dared not shew in open disrespect to her , found a broader vent in contemptuous treatment of Harriet . "
emma_33,1,12,Mrs. Elton took a great fancy to Jane Fairfax ; and from the first . ,Mrs. Elton took a great fancy to Jane Fairfax ; and from the first . 
emma_33,1,13,"Not merely when a state of warfare with one young lady might be supposed to recommend the other , but from the very first ; and she was not satisfied with expressing a natural and reasonable admiration-- but without solicitation , or plea , or privilege , she must be wanting to assist and befriend her.--Before Emma had forfeited her confidence , and about the third time of their meeting , she heard all Mrs. Elton 's knight - errantry on the subject.-- "" Jane Fairfax is absolutely charming , Miss Woodhouse.--I quite rave about Jane Fairfax.--A sweet , interesting creature . So mild and ladylike -- and with such talents!--I assure you I think she has very extraordinary talents . I do not scruple to say that she plays extremely well . ","Not merely when a state of warfare with one young lady might be supposed to recommend the other , but from the very first ; and she was not satisfied with expressing a natural and reasonable admiration-- but without solicitation , or plea , or privilege , she must be wanting to assist and befriend her.--Before Emma had forfeited her confidence , and about the third time of their meeting , she heard all Mrs. Elton 's knight - errantry on the subject.-- "" Jane Fairfax is absolutely charming , Miss Woodhouse.--I quite rave about Jane Fairfax.--A sweet , interesting creature . So mild and ladylike -- and with such talents!--I assure you I think she has very extraordinary talents . I do not scruple to say that she plays extremely well . "
emma_33,1,14,I know enough of music to speak decidedly on that point . ,I know enough of music to speak decidedly on that point . 
emma_33,1,15,Oh ! ,Oh ! 
emma_33,1,16,she is absolutely charming ! ,she is absolutely charming ! 
emma_33,1,17,"You will laugh at my warmth -- but , upon my word , I talk of nothing but Jane Fairfax.-- ","You will laugh at my warmth -- but , upon my word , I talk of nothing but Jane Fairfax.-- "
emma_33,1,18,"And her situation is so calculated to affect one!--Miss Woodhouse , we must exert ourselves and endeavour to do something for her . ","And her situation is so calculated to affect one!--Miss Woodhouse , we must exert ourselves and endeavour to do something for her . "
emma_33,1,19,We must bring her forward . ,We must bring her forward . 
emma_33,1,20,"Such talent as hers must not be suffered to remain unknown.--I dare say you have heard those charming lines of the poet , ` Full many a flower is born to blush unseen , ` And waste its fragrance on the desert air . ' ","Such talent as hers must not be suffered to remain unknown.--I dare say you have heard those charming lines of the poet , ` Full many a flower is born to blush unseen , ` And waste its fragrance on the desert air . ' "
emma_33,1,21,We must not allow them to be verified in sweet Jane Fairfax . ,We must not allow them to be verified in sweet Jane Fairfax . 
emma_33,1,22,""" "" I can not think there is any danger of it , "" was Emma 's calm answer-- "" and when you are better acquainted with Miss Fairfax 's situation and understand what her home has been , with Colonel and Mrs. Campbell , I have no idea that you will suppose her talents can be unknown . "" "" Oh ! ",""" "" I can not think there is any danger of it , "" was Emma 's calm answer-- "" and when you are better acquainted with Miss Fairfax 's situation and understand what her home has been , with Colonel and Mrs. Campbell , I have no idea that you will suppose her talents can be unknown . "" "" Oh ! "
emma_33,1,23,but ,but 
emma_33,1,24,dear ,dear 
emma_33,1,25,"Miss Woodhouse , she is now in such retirement , such obscurity , so thrown away.--Whatever advantages she may have enjoyed with the Campbells are so palpably at an end ! ","Miss Woodhouse , she is now in such retirement , such obscurity , so thrown away.--Whatever advantages she may have enjoyed with the Campbells are so palpably at an end ! "
emma_33,1,26,And I think she feels it . ,And I think she feels it . 
emma_33,1,27,I am sure she does . She is very timid and silent . ,I am sure she does . She is very timid and silent . 
