fic_id,chapter_id,para_id,text,text_tokenized
emma_40,1,62,""" Yes , simpleton as I was!--but I am quite ashamed of it now , and wish I could forget as easily as I can burn them . It was very wrong of me , you know , to keep any remembrances , after he was married . ",""" Yes , simpleton as I was!--but I am quite ashamed of it now , and wish I could forget as easily as I can burn them . It was very wrong of me , you know , to keep any remembrances , after he was married . "
emma_40,1,63,"I knew it was -- but had not resolution enough to part with them . "" "" But , Harriet , is it necessary to burn the court - plaister?--I have not a word to say for the bit of old pencil , but the court - plaister might be useful . ","I knew it was -- but had not resolution enough to part with them . "" "" But , Harriet , is it necessary to burn the court - plaister?--I have not a word to say for the bit of old pencil , but the court - plaister might be useful . "
emma_40,1,64,""" ",""" "
emma_40,1,65,""" I shall be happier to burn it , "" replied Harriet . ",""" I shall be happier to burn it , "" replied Harriet . "
emma_40,1,66,""" It has a disagreeable look to me . ",""" It has a disagreeable look to me . "
emma_40,1,67,"I must get rid of every thing.-- There it goes , and there is an end , thank Heaven ! of Mr. Elton . "" "" And when , "" thought Emma , "" will there be a beginning of Mr. Churchill ? "" She had soon afterwards reason to believe that the beginning was already made , and could not but hope that the gipsy , though she had _ told _ no fortune , might be proved to have made Harriet's.--About a fortnight after the alarm , they came to a sufficient explanation , and quite undesignedly . ","I must get rid of every thing.-- There it goes , and there is an end , thank Heaven ! of Mr. Elton . "" "" And when , "" thought Emma , "" will there be a beginning of Mr. Churchill ? "" She had soon afterwards reason to believe that the beginning was already made , and could not but hope that the gipsy , though she had _ told _ no fortune , might be proved to have made Harriet's.--About a fortnight after the alarm , they came to a sufficient explanation , and quite undesignedly . "
emma_40,1,68,"Emma was not thinking of it at the moment , which made the information she received more valuable . ","Emma was not thinking of it at the moment , which made the information she received more valuable . "
emma_40,1,69,"She merely said , in the course of some trivial chat , "" Well , Harriet , whenever you marry I would advise you to do so and so""--and thought no more of it , till after a minute 's silence she heard Harriet say in a very serious tone , "" I shall never marry . "" ","She merely said , in the course of some trivial chat , "" Well , Harriet , whenever you marry I would advise you to do so and so""--and thought no more of it , till after a minute 's silence she heard Harriet say in a very serious tone , "" I shall never marry . "" "
emma_40,1,70,"Emma then looked up , and immediately saw how it was ; and after a moment 's debate , as to whether it should pass unnoticed or not , replied , "" Never marry!--This is a new resolution . "" ","Emma then looked up , and immediately saw how it was ; and after a moment 's debate , as to whether it should pass unnoticed or not , replied , "" Never marry!--This is a new resolution . "" "
emma_40,1,71,""" It is one that I shall never change , however . "" ",""" It is one that I shall never change , however . "" "
emma_40,1,72,"After another short hesitation , "" I hope it does not proceed from-- I hope it is not in compliment to Mr. Elton ? "" ","After another short hesitation , "" I hope it does not proceed from-- I hope it is not in compliment to Mr. Elton ? "" "
emma_40,1,73,""" Mr. Elton indeed ! "" cried Harriet indignantly.--""Oh ! no""--and Emma could just catch the words , "" so superior to Mr. Elton ! "" ",""" Mr. Elton indeed ! "" cried Harriet indignantly.--""Oh ! no""--and Emma could just catch the words , "" so superior to Mr. Elton ! "" "
emma_40,1,74,She then took a longer time for consideration . ,She then took a longer time for consideration . 
emma_40,1,75,"Should she proceed no farther?--should she let it pass , and seem to suspect nothing?-- ","Should she proceed no farther?--should she let it pass , and seem to suspect nothing?-- "
emma_40,1,76,"Perhaps Harriet might think her cold or angry if she did ; or perhaps if she were totally silent , it might only drive Harriet into asking her to hear too much ; and against any thing like such an unreserve as had been , such an open and frequent discussion of hopes and chances ","Perhaps Harriet might think her cold or angry if she did ; or perhaps if she were totally silent , it might only drive Harriet into asking her to hear too much ; and against any thing like such an unreserve as had been , such an open and frequent discussion of hopes and chances "
emma_40,1,77,", she was perfectly resolved.-- ",", she was perfectly resolved.-- "
emma_40,1,78,"She believed it would be wiser for her to say and know at once , all that she meant to say and know . ","She believed it would be wiser for her to say and know at once , all that she meant to say and know . "
emma_40,1,79,Plain dealing was always best . ,Plain dealing was always best . 
emma_40,1,80,"She had previously determined how far she would proceed , on any application of the sort ; and it would be safer for both , to have the judicious law of her own brain laid down with speed.-- She was decided , and thus spoke-- "" Harriet , I will not affect to be in doubt of your meaning . ","She had previously determined how far she would proceed , on any application of the sort ; and it would be safer for both , to have the judicious law of her own brain laid down with speed.-- She was decided , and thus spoke-- "" Harriet , I will not affect to be in doubt of your meaning . "
emma_40,1,81,"Your resolution , or rather your expectation of never marrying , results from an idea that the person whom you might prefer , would be too greatly your superior in situation to think of you . Is not it so ? ","Your resolution , or rather your expectation of never marrying , results from an idea that the person whom you might prefer , would be too greatly your superior in situation to think of you . Is not it so ? "
emma_40,1,82,""" ",""" "
emma_40,1,83,""" Oh ! ",""" Oh ! "
emma_40,1,84,"Miss Woodhouse , believe me I have not the presumption to suppose-- Indeed I am not so mad.--But it is a pleasure to me to admire him at a distance -- and to think of his infinite superiority to all the rest of the world , with the gratitude , wonder , and veneration , which are so proper , in me especially . ","Miss Woodhouse , believe me I have not the presumption to suppose-- Indeed I am not so mad.--But it is a pleasure to me to admire him at a distance -- and to think of his infinite superiority to all the rest of the world , with the gratitude , wonder , and veneration , which are so proper , in me especially . "
emma_40,1,85,""" ",""" "
emma_40,1,86,""" I am not at all surprized at you , Harriet . ",""" I am not at all surprized at you , Harriet . "
emma_40,1,87,"The service he rendered you was enough to warm your heart . "" "" Service ! ","The service he rendered you was enough to warm your heart . "" "" Service ! "
emma_40,1,88,oh ! ,oh ! 
emma_40,1,89,"it was such an inexpressible obligation!-- The very recollection of it , and all that I felt at the time-- when I saw him coming -- his noble look -- and my wretchedness before . ","it was such an inexpressible obligation!-- The very recollection of it , and all that I felt at the time-- when I saw him coming -- his noble look -- and my wretchedness before . "
emma_40,1,90,Such a change ! ,Such a change ! 
emma_40,1,91,In one moment such a change ! ,In one moment such a change ! 
emma_40,1,92,"From perfect misery to perfect happiness ! "" ","From perfect misery to perfect happiness ! "" "
emma_40,1,93,""" It is very natural . ",""" It is very natural . "
emma_40,1,94,"It is natural , and it is honourable.-- Yes , honourable , I think , to chuse so well and so gratefully.-- But that it will be a fortunate preference is more that I can promise . ","It is natural , and it is honourable.-- Yes , honourable , I think , to chuse so well and so gratefully.-- But that it will be a fortunate preference is more that I can promise . "
